scenario_id,level,time_generalization,price_rounding,quantity_topcoding,risk_index,utility_loss,protection_gain,description
0,0,None,None,No,78,6,0,Pseudonymization (hash) of direct identifiers only
1,1,Hour,None,No,55,22,23,+ Time generalization of timestamps to the hour
2,2,Minute,None,No,64,14,14,+ Time generalization of timestamps to the minute
1.1,1,Hour,Low,No,50,30,28,Scenario 1 + low-level price rounding
1.2,1,Hour,Medium,No,44,42,34,Scenario 1 + medium-level price rounding
1.3,1,Hour,High,No,38,55,40,Scenario 1 + high-level price rounding
2.1,2,Minute,Low,No,58,24,20,Scenario 2 + low-level price rounding
2.2,2,Minute,Medium,No,52,35,26,Scenario 2 + medium-level price rounding
2.3,2,Minute,High,No,46,47,32,Scenario 2 + high-level price rounding
1.1.1,1,Hour,Low,Yes,44,41,34,Scenario 1.1 + top-coding of order quantity
1.2.1,1,Hour,Medium,Yes,38,53,40,Scenario 1.2 + top-coding of order quantity
1.3.1,1,Hour,High,Yes,32,66,46,Scenario 1.3 + top-coding of order quantity
2.1.1,2,Minute,Low,Yes,52,35,26,Scenario 2.1 + top-coding of order quantity
2.2.1,2,Minute,Medium,Yes,46,46,32,Scenario 2.2 + top-coding of order quantity
2.3.1,2,Minute,High,Yes,40,58,38,Scenario 2.3 + top-coding of order quantity
