product_id,product_name,category,subcategory,brand,cost_price
P0001,TechPro Smartphones A,Electronics,Smartphones,TechPro,190.4
P0002,NovaByte Smartphones B,Electronics,Smartphones,NovaByte,475.6
P0003,PixelEdge Smartphones C,Electronics,Smartphones,PixelEdge,367.34
P0004,SoundWave Smartphones D,Electronics,Smartphones,SoundWave,301.34
P0005,VoltLine Smartphones E,Electronics,Smartphones,VoltLine,82.23
P0006,TechPro Smartphones F,Electronics,Smartphones,TechPro,82.22
P0007,TechPro Laptops A,Electronics,Laptops,TechPro,33.75
P0008,NovaByte Laptops B,Electronics,Laptops,NovaByte,433.76
P0009,PixelEdge Laptops C,Electronics,Laptops,PixelEdge,302.55
P0010,SoundWave Laptops D,Electronics,Laptops,SoundWave,355.5
P0011,VoltLine Laptops E,Electronics,Laptops,VoltLine,15.19
P0012,TechPro Laptops F,Electronics,Laptops,TechPro,485.11
P0013,TechPro Tablets A,Electronics,Tablets,TechPro,417.06
P0014,NovaByte Tablets B,Electronics,Tablets,NovaByte,110.11
P0015,PixelEdge Tablets C,Electronics,Tablets,PixelEdge,95.0
P0016,SoundWave Tablets D,Electronics,Tablets,SoundWave,95.79
P0017,VoltLine Tablets E,Electronics,Tablets,VoltLine,155.6
P0018,TechPro Tablets F,Electronics,Tablets,TechPro,264.75
P0019,TechPro Headphones A,Electronics,Headphones,TechPro,218.81
P0020,NovaByte Headphones B,Electronics,Headphones,NovaByte,149.16
P0021,PixelEdge Headphones C,Electronics,Headphones,PixelEdge,307.87
P0022,SoundWave Headphones D,Electronics,Headphones,SoundWave,74.05
P0023,VoltLine Headphones E,Electronics,Headphones,VoltLine,149.61
P0024,TechPro Headphones F,Electronics,Headphones,TechPro,186.35
P0025,TechPro Cameras A,Electronics,Cameras,TechPro,230.75
P0026,NovaByte Cameras B,Electronics,Cameras,NovaByte,393.66
P0027,PixelEdge Cameras C,Electronics,Cameras,PixelEdge,103.84
P0028,SoundWave Cameras D,Electronics,Cameras,SoundWave,259.55
P0029,VoltLine Cameras E,Electronics,Cameras,VoltLine,298.25
P0030,TechPro Cameras F,Electronics,Cameras,TechPro,27.99
P0031,UrbanThread Men's Shirts A,Clothing,Men's Shirts,UrbanThread,92.31
P0032,PrimeFit Men's Shirts B,Clothing,Men's Shirts,PrimeFit,28.07
P0033,LuxWear Men's Shirts C,Clothing,Men's Shirts,LuxWear,12.56
P0034,StreetVibe Men's Shirts D,Clothing,Men's Shirts,StreetVibe,142.49
P0035,ClassicCo Men's Shirts E,Clothing,Men's Shirts,ClassicCo,144.95
P0036,UrbanThread Men's Shirts F,Clothing,Men's Shirts,UrbanThread,121.83
P0037,UrbanThread Women's Dresses A,Clothing,Women's Dresses,UrbanThread,47.78
P0038,PrimeFit Women's Dresses B,Clothing,Women's Dresses,PrimeFit,17.36
P0039,LuxWear Women's Dresses C,Clothing,Women's Dresses,LuxWear,103.58
P0040,StreetVibe Women's Dresses D,Clothing,Women's Dresses,StreetVibe,67.7
P0041,ClassicCo Women's Dresses E,Clothing,Women's Dresses,ClassicCo,20.94
P0042,UrbanThread Women's Dresses F,Clothing,Women's Dresses,UrbanThread,75.79
P0043,UrbanThread Jackets A,Clothing,Jackets,UrbanThread,8.06
P0044,PrimeFit Jackets B,Clothing,Jackets,PrimeFit,136.67
P0045,LuxWear Jackets C,Clothing,Jackets,LuxWear,41.04
P0046,StreetVibe Jackets D,Clothing,Jackets,StreetVibe,100.39
P0047,ClassicCo Jackets E,Clothing,Jackets,ClassicCo,48.82
P0048,UrbanThread Jackets F,Clothing,Jackets,UrbanThread,79.45
P0049,UrbanThread Shoes A,Clothing,Shoes,UrbanThread,83.37
P0050,PrimeFit Shoes B,Clothing,Shoes,PrimeFit,30.17
P0051,LuxWear Shoes C,Clothing,Shoes,LuxWear,145.53
P0052,StreetVibe Shoes D,Clothing,Shoes,StreetVibe,116.94
P0053,ClassicCo Shoes E,Clothing,Shoes,ClassicCo,141.11
P0054,UrbanThread Shoes F,Clothing,Shoes,UrbanThread,134.54
P0055,UrbanThread Accessories A,Clothing,Accessories,UrbanThread,90.89
P0056,PrimeFit Accessories B,Clothing,Accessories,PrimeFit,138.52
P0057,LuxWear Accessories C,Clothing,Accessories,LuxWear,16.01
P0058,StreetVibe Accessories D,Clothing,Accessories,StreetVibe,31.81
P0059,ClassicCo Accessories E,Clothing,Accessories,ClassicCo,9.65
P0060,UrbanThread Accessories F,Clothing,Accessories,UrbanThread,50.82
P0061,HomeNest Furniture A,Home & Garden,Furniture,HomeNest,60.14
P0062,GreenSpace Furniture B,Home & Garden,Furniture,GreenSpace,42.89
P0063,CraftHaus Furniture C,Home & Garden,Furniture,CraftHaus,124.82
P0064,CozyLiving Furniture D,Home & Garden,Furniture,CozyLiving,55.44
P0065,BuildRight Furniture E,Home & Garden,Furniture,BuildRight,44.3
P0066,HomeNest Furniture F,Home & Garden,Furniture,HomeNest,82.78
P0067,HomeNest Kitchen A,Home & Garden,Kitchen,HomeNest,23.72
P0068,GreenSpace Kitchen B,Home & Garden,Kitchen,GreenSpace,120.92
P0069,CraftHaus Kitchen C,Home & Garden,Kitchen,CraftHaus,13.96
P0070,CozyLiving Kitchen D,Home & Garden,Kitchen,CozyLiving,148.07
