return_id,order_id,return_date,reason_code,refund_amount
RET0001,ORD01502,2023-06-16,Not As Described,175.29
RET0002,ORD02587,2023-10-25,Damaged in Shipping,485.39
RET0003,ORD02654,2024-12-24,Damaged in Shipping,60.25
RET0004,ORD01056,2024-06-06,Not As Described,143.19
RET0005,ORD00706,2024-11-04,Wrong Size,710.75
RET0006,ORD00107,2022-09-11,Changed Mind,22.71
RET0007,ORD00590,2023-09-15,Defective,205.15
RET0008,ORD02469,2023-10-07,Not As Described,165.85
RET0009,ORD02414,2024-09-07,Arrived Late,44.81
RET0010,ORD01601,2023-03-05,Wrong Size,1032.06
RET0011,ORD02465,2022-08-20,Changed Mind,442.26
RET0012,ORD00229,2024-01-19,Defective,406.44
RET0013,ORD00916,2024-11-25,Damaged in Shipping,304.3
RET0014,ORD00795,2023-02-12,Wrong Size,315.17
RET0015,ORD03022,2022-09-27,Arrived Late,12.41
RET0016,ORD03544,2024-10-19,Damaged in Shipping,40.94
RET0017,ORD01074,2023-03-07,Changed Mind,128.49
RET0018,ORD03352,2022-12-12,Defective,51.5
RET0019,ORD01745,2024-09-22,Damaged in Shipping,343.17
RET0020,ORD01085,2023-10-07,Changed Mind,290.59
RET0021,ORD00927,2023-05-30,Wrong Size,781.36
RET0022,ORD03050,2024-12-02,Defective,38.34
RET0023,ORD01118,2023-10-05,Changed Mind,171.75
RET0024,ORD00643,2024-08-17,Not As Described,284.47
RET0025,ORD04768,2024-08-17,Arrived Late,1328.86
RET0026,ORD00502,2023-04-30,Damaged in Shipping,176.1
RET0027,ORD04067,2022-12-24,Defective,108.64
RET0028,ORD00334,2022-05-14,Damaged in Shipping,58.76
RET0029,ORD04685,2024-01-06,Wrong Size,253.64
RET0030,ORD00487,2022-08-08,Damaged in Shipping,175.68
RET0031,ORD01963,2024-06-01,Defective,20.57
RET0032,ORD00394,2024-09-16,Not As Described,13.55
RET0033,ORD04843,2023-02-07,Changed Mind,965.12
RET0034,ORD04867,2023-10-24,Wrong Size,425.08
RET0035,ORD01756,2025-01-26,Damaged in Shipping,164.74
RET0036,ORD02516,2024-05-03,Damaged in Shipping,153.61
RET0037,ORD03586,2023-01-04,Damaged in Shipping,273.47
RET0038,ORD04316,2024-06-14,Wrong Size,44.22
RET0039,ORD04967,2023-06-22,Damaged in Shipping,1355.81
RET0040,ORD02100,2022-03-24,Not As Described,103.58
RET0041,ORD03600,2023-04-26,Defective,60.25
RET0042,ORD04122,2022-09-01,Damaged in Shipping,233.04
RET0043,ORD00030,2022-11-04,Arrived Late,208.46
RET0044,ORD00066,2024-03-11,Damaged in Shipping,5.49
RET0045,ORD00839,2024-01-17,Not As Described,95.52
RET0046,ORD03907,2025-01-02,Wrong Size,83.4
RET0047,ORD03774,2024-01-24,Damaged in Shipping,739.98
RET0048,ORD04636,2023-12-04,Damaged in Shipping,339.2
RET0049,ORD03162,2023-10-22,Defective,203.29
RET0050,ORD02660,2024-03-07,Changed Mind,97.34
RET0051,ORD04616,2024-03-15,Not As Described,223.14
RET0052,ORD04629,2022-12-11,Wrong Size,132.29
RET0053,ORD02452,2025-01-23,Damaged in Shipping,293.58
RET0054,ORD02847,2025-01-09,Not As Described,2484.28
RET0055,ORD01145,2023-12-25,Damaged in Shipping,601.96
RET0056,ORD03079,2024-06-23,Changed Mind,1945.36
