order_id,order_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,shipping_cost
ORD00001,2023-09-22,C0244,P0136,S02,5,120.71,0.3,3.59
ORD00002,2022-07-10,C0533,P0060,S02,4,74.9,0.05,7.34
ORD00003,2022-06-23,C0137,P0130,S03,1,193.86,0.1,0.0
ORD00004,2022-05-08,C0243,P0034,S01,3,226.63,0.25,10.08
ORD00005,2023-10-31,C0240,P0070,S01,1,327.82,0.15,3.56
ORD00006,2022-08-12,C0461,P0043,S02,1,17.52,0.05,5.52
ORD00007,2023-03-02,C0272,P0119,S07,1,276.31,0.2,0.0
ORD00008,2022-03-24,C0152,P0084,S01,1,25.42,0.0,8.04
ORD00009,2024-11-17,C0267,P0077,S06,1,163.9,0.3,0.0
ORD00010,2024-07-15,C0256,P0141,S01,1,332.65,0.15,4.81
ORD00011,2022-09-06,C0134,P0057,S01,1,24.4,0.1,0.61
ORD00012,2022-06-22,C0077,P0067,S01,1,47.66,0.25,10.16
ORD00013,2023-11-11,C0052,P0119,S01,2,177.14,0.2,7.68
ORD00014,2024-03-19,C0700,P0098,S02,1,103.5,0.25,9.68
ORD00015,2023-07-18,C0036,P0039,S03,2,156.33,0.1,0.0
ORD00016,2024-10-18,C0491,P0141,S01,1,307.62,0.0,5.8
ORD00017,2024-12-12,C0020,P0140,S08,3,353.55,0.0,2.06
ORD00018,2024-09-19,C0515,P0145,S01,1,76.7,0.0,1.7
ORD00019,2023-03-25,C0060,P0072,S06,1,77.61,0.0,0.0
ORD00020,2022-07-25,C0273,P0062,S02,3,100.91,0.15,3.87
ORD00021,2024-03-06,C0181,P0045,S01,1,85.85,0.15,12.26
ORD00022,2023-12-22,C0146,P0145,S03,1,88.23,0.3,0.0
ORD00023,2024-10-05,C0503,P0045,S01,1,79.44,0.1,3.63
ORD00024,2022-02-10,C0340,P0001,S08,1,268.79,0.0,13.46
ORD00025,2022-12-30,C0061,P0083,S01,2,122.93,0.25,9.5
ORD00026,2023-11-21,C0162,P0035,S05,1,247.41,0.1,0.0
ORD00027,2022-12-23,C0711,P0144,S07,2,81.19,0.0,0.0
ORD00028,2022-12-26,C0131,P0076,S01,1,239.17,0.15,13.46
ORD00029,2022-03-08,C0627,P0082,S01,2,223.73,0.25,11.7
ORD00030,2022-10-16,C0244,P0020,S01,1,308.83,0.1,1.26
ORD00031,2023-11-19,C0215,P0068,S01,1,180.65,0.0,13.48
ORD00032,2022-04-09,C0171,P0108,S07,1,231.3,0.0,0.0
ORD00033,2024-02-08,C0592,P0123,S04,2,65.22,0.0,0.0
ORD00034,2022-03-10,C0268,P0082,S08,1,134.53,0.0,9.95
ORD00035,2024-02-08,C0561,P0020,S08,5,194.81,0.0,2.41
ORD00036,2022-12-04,C0161,P0112,S01,1,52.29,0.3,10.38
ORD00037,2023-06-28,C0244,P0077,S01,1,242.34,0.05,3.36
ORD00038,2024-10-02,C0004,P0093,S02,1,247.44,0.1,3.56
ORD00039,2024-09-10,C0212,P0007,S01,1,57.05,0.0,11.2
ORD00040,2022-08-25,C0483,P0102,S02,2,200.78,0.0,12.74
ORD00041,2024-03-04,C0379,P0098,S01,1,137.57,0.05,8.52
ORD00042,2023-06-24,C0578,P0069,S01,3,19.72,0.1,5.52
ORD00043,2022-06-25,C0424,P0139,S08,2,91.35,0.1,3.66
ORD00044,2024-08-30,C0488,P0061,S01,1,148.4,0.2,5.9
ORD00045,2024-11-24,C0124,P0038,S08,1,41.15,0.25,9.47
ORD00046,2023-01-30,C0081,P0109,S08,1,82.56,0.3,7.54
ORD00047,2023-06-13,C0090,P0018,S02,1,527.46,0.0,7.39
ORD00048,2023-07-20,C0718,P0004,S03,2,462.34,0.05,0.0
ORD00049,2024-04-28,C0603,P0146,S03,5,18.25,0.0,0.0
ORD00050,2022-08-05,C0293,P0026,S07,4,644.39,0.2,0.0
ORD00051,2023-06-25,C0586,P0125,S03,1,48.53,0.0,0.0
ORD00052,2024-04-02,C0708,P0085,S01,2,101.05,0.25,2.66
ORD00053,2024-02-02,C0319,P0078,S01,1,33.71,0.1,14.31
ORD00054,2023-04-12,C0793,P0114,S06,1,292.03,0.05,0.0
ORD00055,2022-07-02,C0417,P0055,S05,3,158.53,0.2,0.0
ORD00056,2022-11-22,C0414,P0130,S01,3,102.95,0.2,13.92
ORD00057,2022-03-01,C0060,P0052,S01,1,212.11,0.25,14.5
ORD00058,2023-02-12,C0518,P0119,S02,4,329.67,0.1,12.8
ORD00059,2023-05-11,C0182,P0115,S08,1,158.9,0.1,5.78
ORD00060,2023-12-07,C0767,P0067,S06,1,55.06,0.0,0.0
ORD00061,2022-04-12,C0799,P0147,S08,3,155.61,0.1,2.54
ORD00062,2023-02-28,C0526,P0105,S01,3,268.48,0.15,14.04
ORD00063,2022-01-19,C0663,P0034,S01,3,304.25,0.0,8.55
ORD00064,2023-07-18,C0358,P0097,S02,1,113.1,0.0,9.23
ORD00065,2024-12-02,C0599,P0102,S01,2,240.22,0.1,2.1
ORD00066,2024-02-06,C0306,P0073,S04,1,7.32,0.0,0.0
ORD00067,2023-07-21,C0268,P0071,S04,5,274.15,0.1,0.0
ORD00068,2023-01-21,C0059,P0062,S06,3,93.88,0.1,0.0
ORD00069,2023-08-29,C0415,P0108,S02,1,243.7,0.15,10.54
ORD00070,2023-01-24,C0703,P0057,S02,3,27.72,0.25,4.4
ORD00071,2024-01-05,C0674,P0044,S07,1,310.41,0.0,0.0
ORD00072,2023-11-19,C0364,P0057,S01,4,36.38,0.05,13.01
ORD00073,2023-11-10,C0302,P0150,S02,1,105.32,0.0,7.67
ORD00074,2022-05-26,C0513,P0050,S01,2,57.38,0.05,11.97
ORD00075,2024-04-26,C0141,P0039,S08,1,215.44,0.3,10.53
ORD00076,2024-07-26,C0798,P0047,S01,1,110.09,0.3,13.35
ORD00077,2022-01-10,C0780,P0054,S05,2,229.47,0.0,0.0
ORD00078,2022-06-30,C0649,P0112,S02,1,46.74,0.05,1.41
ORD00079,2022-01-10,C0749,P0052,S02,1,233.17,0.0,0.54
ORD00080,2024-12-23,C0642,P0002,S05,1,884.01,0.2,0.0
ORD00081,2023-10-02,C0516,P0099,S03,1,13.15,0.2,0.0
ORD00082,2024-12-09,C0351,P0035,S08,1,238.28,0.15,8.86
ORD00083,2022-12-04,C0020,P0104,S01,2,103.93,0.0,0.56
ORD00084,2022-02-14,C0127,P0044,S02,2,312.58,0.0,5.4
ORD00085,2022-02-10,C0427,P0030,S02,1,40.65,0.0,7.83
ORD00086,2022-11-10,C0309,P0003,S02,1,816.96,0.05,3.24
ORD00087,2022-10-08,C0524,P0027,S05,1,212.61,0.0,0.0
ORD00088,2022-08-06,C0797,P0052,S01,2,164.0,0.0,0.78
ORD00089,2024-04-19,C0562,P0011,S02,1,29.43,0.25,8.11
ORD00090,2023-11-09,C0688,P0004,S01,1,622.24,0.1,10.89
ORD00091,2024-10-08,C0799,P0024,S02,2,460.48,0.0,7.74
ORD00092,2023-06-09,C0304,P0117,S01,1,204.43,0.2,11.93
ORD00093,2023-10-03,C0098,P0030,S07,4,45.48,0.0,0.0
ORD00094,2022-12-16,C0637,P0113,S01,2,255.14,0.0,1.18
