FinancialID,YearMonth,MonthDate,RepHeadcount,RepCost_EUR,TechCost_EUR,MgmtCost_EUR,TotalCost_EUR,BaseRevenue_USD,EngagementRevenue_USD,CaseRevenue_USD,TotalRevenue_USD,TotalCalls,TotalCases,CostPerCall_EUR,CostPerCase_EUR,GrossMargin_USD,GrossMarginPct
FIN-001,2025-07,2025-07-01,25,87500,17401,11461,116362,120000,14354,14603,148957,1554,304,74.88,382.77,20959,0.141
FIN-002,2025-08,2025-08-01,25,89250,16422,14657,120329,120000,16767,20602,157369,1542,318,78.03,378.39,25007,0.159
FIN-003,2025-09,2025-09-01,25,91000,17679,10268,118947,120000,16523,13604,150127,1488,271,79.94,438.92,19285,0.128
FIN-004,2025-10,2025-10-01,25,92750,17287,13864,123901,120000,13274,17098,150372,1500,284,82.6,436.27,14081,0.094
FIN-005,2025-11,2025-11-01,25,94500,19273,13011,126784,120000,13513,18133,151646,1520,290,83.41,437.19,12184,0.08
FIN-006,2025-12,2025-12-01,25,96250,24159,11159,131568,120000,15539,17390,152928,1569,275,83.85,478.43,8203,0.054
FIN-007,2026-01,2026-01-01,25,98000,22632,14430,135062,120000,15203,18474,153677,1520,309,88.86,437.09,5109,0.033
FIN-008,2026-02,2026-02-01,25,99750,24054,13441,137245,120000,15819,14947,150766,1369,297,100.25,462.1,-204,-0.001
FIN-009,2026-03,2026-03-01,25,101500,24733,11515,137748,120000,13263,15863,149126,1495,331,92.14,416.16,-2397,-0.016
FIN-010,2026-04,2026-04-01,25,103250,20918,11279,135447,120000,17284,16694,153978,1443,321,93.86,421.95,4986,0.032
