CallID,CallDate,CallTime,RepID,HCPID,CallOutcome,IsConnected,DurationMinutes,AfterCallWorkMinutes,AHT_Minutes,IsMeaningfulInteraction,InteractionType,Script,AIRecommended,AIFollowed,ScheduledTime,IsScheduleAdherent,Drug,TherapyArea,NotesTaken,FollowUpScheduled,HCPSentimentScore,Channel,ScriptDeviation,CallQualityScore,AdverseEventFlagged
CALL-000001,2025-09-19,21:40,REP-015,HCP-0161,Connected,1,7.3,3.4,10.8,1,Product Info,Script B - Direct,0,0,23:01,1,CardioPlus-25mg,Immunology,1,1,1.5,Phone,0,4.7,0
CALL-000002,2026-02-14,20:36,REP-019,HCP-0296,No Answer,0,0.9,0.7,1.5,0,N/A,Script B - Direct,1,1,17:52,1,DrugAlpha-100mg,Immunology,0,0,,Phone,0,,0
CALL-000003,2025-12-09,23:40,REP-008,HCP-0400,Voicemail,0,0.9,0.3,1.2,0,N/A,Script A - Empathetic,1,1,23:59,0,DrugBeta-50mg,Neurology,0,0,,Phone,0,,0
CALL-000004,2025-08-03,19:31,REP-007,HCP-0284,No Answer,0,0.5,0.2,0.7,0,N/A,Script B - Direct,0,0,22:58,1,DrugGamma-200mg,Oncology,0,0,,Email,1,,0
CALL-000005,2025-07-26,23:51,REP-016,HCP-0293,Voicemail,0,1.1,0.2,1.3,0,N/A,Script B - Direct,1,0,20:37,1,DrugAlpha-100mg,Oncology,0,0,,Email,0,,0
CALL-000006,2025-08-04,18:06,REP-023,HCP-0167,Voicemail,0,0.4,0.5,0.9,0,N/A,Script A - Empathetic,0,0,16:32,1,DrugAlpha-100mg,Immunology,0,0,,Email,0,,0
CALL-000007,2026-01-27,23:57,REP-002,HCP-0100,Connected,1,17.1,0.4,17.4,1,Scientific Discussion,Script A - Empathetic,0,0,19:23,1,DrugBeta-50mg,Immunology,1,1,2.8,Phone,0,4.2,0
CALL-000008,2025-07-12,18:48,REP-024,HCP-0330,Gatekeeper Block,0,1.5,0.3,1.8,0,N/A,Script B - Direct,0,0,22:57,1,DrugAlpha-100mg,Rare Disease,0,0,,Phone,0,,0
CALL-000009,2026-02-17,22:36,REP-012,HCP-0321,Connected,1,14.5,3.1,17.5,0,Clinical Data Review,Script A - Empathetic,1,1,16:26,1,DrugAlpha-100mg,Neurology,1,0,2.6,Phone,0,6.4,0
CALL-000010,2025-08-13,23:42,REP-006,HCP-0311,No Answer,0,0.7,0.8,1.5,0,N/A,Script B - Direct,0,0,18:29,1,DrugAlpha-100mg,Rare Disease,0,0,,Phone,0,,0
