interaction_id,interaction_date,agent_id,hcp_id,client_id,channel,interaction_type,duration_minutes,connected,outcome,next_best_action,sentiment_score,script_adherence_pct,compliance_status,adverse_event_flagged
INT000001,2025-06-11,AG055,HCP0076,CL07,Portal,Promotional,1,Yes,Connected,Invite to Webinar,1.0,1.0,Pass,No
INT000002,2025-01-19,AG022,HCP0223,CL03,Email,Promotional,2,Yes,Connected,Invite to Webinar,0.52,0.95,Pass,No
INT000003,2025-06-05,AG051,HCP0046,CL08,Video,Follow-up,10,Yes,Connected,Send Clinical Data,0.5,0.93,Pass,No
INT000004,2024-11-01,AG002,HCP0294,CL08,Phone,Follow-up,0,No,No Answer,Escalate to MSL,0.49,0.61,Review,No
INT000005,2025-06-26,AG009,HCP0051,CL06,Phone,Onboarding,0,No,No Answer,No Action,0.9,0.78,Pass,No
INT000006,2024-11-17,AG005,HCP0266,CL02,Video,Scientific Exchange,0,No,No Answer,Schedule Follow-up,0.58,0.93,Pass,No
INT000007,2024-06-24,AG003,HCP0066,CL04,Email,Scientific Exchange,1,Yes,Connected,No Action,0.86,0.94,Pass,No
INT000008,2024-11-16,AG043,HCP0001,CL04,Phone,Onboarding,15,Yes,Connected,Escalate to MSL,0.69,0.81,Pass,No
INT000009,2024-08-09,AG059,HCP0181,CL04,Email,Follow-up,1,Yes,Connected,Escalate to MSL,0.7,0.96,Pass,No
INT000010,2024-05-26,AG023,HCP0143,CL03,Video,Promotional,13,Yes,Connected,Escalate to MSL,0.9,0.95,Pass,No
INT000011,2024-06-06,AG014,HCP0037,CL05,Portal,Follow-up,3,Yes,Connected,Sample Drop,0.81,0.82,Pass,No
INT000012,2024-04-01,AG051,HCP0223,CL07,Phone,Promotional,10,Yes,Connected,Sample Drop,0.7,0.93,Pass,No
INT000013,2025-06-23,AG059,HCP0171,CL05,Phone,Follow-up,29,Yes,Connected,Invite to Webinar,0.93,0.94,Pass,No
INT000014,2024-11-21,AG057,HCP0157,CL08,Phone,Promotional,30,Yes,Connected,No Action,0.61,0.96,Pass,No
INT000015,2025-01-14,AG012,HCP0177,CL07,Email,Promotional,2,Yes,Connected,Invite to Webinar,0.59,0.88,Pass,No
INT000016,2024-08-22,AG050,HCP0128,CL07,Email,Promotional,0,No,Declined,Sample Drop,0.33,0.88,Pass,No
INT000017,2025-05-19,AG041,HCP0045,CL05,Phone,Promotional,23,Yes,Connected,Schedule Follow-up,0.78,0.95,Pass,No
INT000018,2024-01-08,AG028,HCP0261,CL03,Email,Promotional,0,No,Voicemail,Invite to Webinar,0.42,0.85,Pass,No
INT000019,2025-06-20,AG028,HCP0274,CL06,Phone,Follow-up,0,No,Voicemail,Send Clinical Data,0.31,0.87,Pass,No
INT000020,2024-09-12,AG012,HCP0039,CL06,Video,Promotional,0,No,Declined,Escalate to MSL,0.41,0.83,Pass,No
INT000021,2025-06-11,AG055,HCP0061,CL05,Phone,Promotional,14,Yes,Connected,Schedule Follow-up,0.62,0.82,Pass,No
INT000022,2025-03-17,AG060,HCP0238,CL08,Phone,Scientific Exchange,13,Yes,Connected,No Action,0.72,0.84,Pass,Yes
INT000023,2025-01-08,AG013,HCP0044,CL03,Phone,Onboarding,23,Yes,Connected,No Action,0.66,0.86,Pass,No
INT000024,2024-07-22,AG058,HCP0094,CL05,Phone,Promotional,0,No,No Answer,Schedule Follow-up,0.61,0.98,Pass,No
INT000025,2025-05-15,AG013,HCP0146,CL01,Phone,Promotional,24,Yes,Connected,Escalate to MSL,0.69,1.0,Pass,No
INT000026,2024-04-20,AG032,HCP0066,CL06,Video,Follow-up,8,Yes,Connected,Schedule Follow-up,0.6,0.8,Pass,No
INT000027,2024-10-15,AG009,HCP0080,CL06,Email,Follow-up,3,Yes,Connected,No Action,0.42,0.95,Pass,No
INT000028,2025-03-15,AG006,HCP0220,CL04,Email,Follow-up,3,Yes,Connected,Send Clinical Data,0.68,0.77,Review,No
INT000029,2024-05-29,AG031,HCP0053,CL03,Phone,Follow-up,0,No,No Answer,No Action,0.46,0.92,Pass,No
INT000030,2024-02-22,AG002,HCP0103,CL02,Video,Scientific Exchange,7,Yes,Connected,Sample Drop,0.16,0.92,Pass,No
INT000031,2024-11-25,AG008,HCP0138,CL06,Phone,Promotional,21,Yes,Connected,Send Clinical Data,0.62,0.93,Pass,No
INT000032,2024-05-13,AG019,HCP0242,CL05,Portal,Scientific Exchange,4,Yes,Connected,Sample Drop,0.54,0.96,Pass,Yes
INT000033,2024-07-14,AG024,HCP0186,CL06,Phone,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.51,0.85,Pass,No
INT000034,2024-09-15,AG046,HCP0229,CL02,Phone,Scientific Exchange,10,Yes,Connected,Escalate to MSL,0.1,0.94,Pass,No
INT000035,2024-10-07,AG023,HCP0188,CL08,Email,Scientific Exchange,4,Yes,Connected,Invite to Webinar,0.91,0.77,Pass,No
INT000036,2024-03-17,AG009,HCP0149,CL01,Portal,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.62,0.88,Pass,No
INT000037,2025-06-09,AG029,HCP0261,CL07,Email,Promotional,2,Yes,Connected,No Action,0.46,0.93,Pass,No
INT000038,2024-05-31,AG033,HCP0269,CL05,Phone,Scientific Exchange,0,No,Voicemail,Sample Drop,0.53,0.92,Pass,No
INT000039,2025-01-12,AG060,HCP0069,CL05,Video,Scientific Exchange,0,No,No Answer,Sample Drop,0.52,0.88,Pass,No
INT000040,2024-10-13,AG006,HCP0282,CL05,Video,Promotional,0,No,Declined,Send Clinical Data,0.45,0.99,Pass,No
INT000041,2024-08-13,AG017,HCP0009,CL02,Video,Follow-up,0,No,Declined,Sample Drop,0.43,0.96,Pass,No
INT000042,2024-06-29,AG018,HCP0105,CL07,Phone,Scientific Exchange,0,No,Declined,Send Clinical Data,0.29,0.93,Pass,No
INT000043,2025-03-12,AG037,HCP0252,CL03,Email,Scientific Exchange,2,Yes,Connected,Send Clinical Data,0.81,0.95,Pass,No
INT000044,2024-02-14,AG030,HCP0207,CL02,Video,Scientific Exchange,0,No,No Answer,Send Clinical Data,0.24,0.82,Pass,No
INT000045,2024-12-12,AG016,HCP0043,CL05,Phone,Follow-up,9,Yes,Connected,Invite to Webinar,1.0,0.87,Pass,No
INT000046,2024-09-30,AG006,HCP0104,CL03,Email,Promotional,2,Yes,Connected,Invite to Webinar,0.57,0.98,Pass,No
INT000047,2024-05-30,AG035,HCP0064,CL01,Video,Scientific Exchange,2,Yes,Connected,Sample Drop,0.62,1.0,Pass,No
INT000048,2024-10-15,AG042,HCP0147,CL04,Portal,Follow-up,1,Yes,Connected,Sample Drop,0.95,0.7,Review,No
INT000049,2024-07-04,AG005,HCP0171,CL02,Phone,Onboarding,15,Yes,Connected,Invite to Webinar,0.74,0.92,Pass,No
INT000050,2024-03-19,AG028,HCP0077,CL05,Email,Promotional,3,Yes,Connected,Schedule Follow-up,0.87,0.86,Pass,No
INT000051,2024-05-28,AG056,HCP0077,CL03,Phone,Promotional,0,No,Declined,Schedule Follow-up,0.48,0.84,Pass,No
INT000052,2024-09-08,AG021,HCP0066,CL03,Video,Scientific Exchange,2,Yes,Connected,No Action,0.7,0.83,Pass,No
INT000053,2024-08-12,AG027,HCP0282,CL08,Email,Promotional,2,Yes,Connected,Invite to Webinar,0.49,0.84,Pass,No
INT000054,2024-12-23,AG006,HCP0121,CL06,Phone,Onboarding,20,Yes,Connected,Sample Drop,0.22,0.85,Pass,No
INT000055,2024-05-26,AG055,HCP0072,CL05,Email,Follow-up,4,Yes,Connected,No Action,0.66,1.0,Pass,No
INT000056,2024-05-24,AG047,HCP0014,CL07,Phone,Follow-up,0,No,No Answer,Schedule Follow-up,0.25,0.9,Pass,No
INT000057,2025-04-26,AG016,HCP0040,CL01,Email,Follow-up,2,Yes,Connected,No Action,0.54,0.92,Pass,No
INT000058,2025-03-09,AG047,HCP0173,CL08,Video,Follow-up,22,Yes,Connected,Invite to Webinar,0.95,1.0,Pass,Yes
INT000059,2024-05-08,AG057,HCP0233,CL05,Portal,Promotional,4,Yes,Connected,Invite to Webinar,0.7,0.96,Pass,No
INT000060,2025-02-18,AG014,HCP0206,CL01,Phone,Scientific Exchange,0,No,Voicemail,No Action,0.4,0.85,Pass,No
INT000061,2024-06-15,AG011,HCP0028,CL06,Email,Scientific Exchange,1,Yes,Connected,Escalate to MSL,0.6,0.83,Pass,No
INT000062,2024-02-15,AG007,HCP0034,CL04,Email,Follow-up,2,Yes,Connected,Escalate to MSL,0.88,0.9,Pass,No
INT000063,2024-11-18,AG051,HCP0248,CL01,Phone,Scientific Exchange,12,Yes,Connected,No Action,0.94,0.9,Pass,No
INT000064,2025-05-03,AG047,HCP0183,CL03,Email,Scientific Exchange,1,Yes,Connected,Escalate to MSL,0.33,0.91,Pass,No
INT000065,2024-06-13,AG056,HCP0020,CL05,Phone,Follow-up,2,Yes,Connected,Escalate to MSL,0.32,0.92,Pass,No
INT000066,2024-03-17,AG034,HCP0268,CL06,Email,Promotional,4,Yes,Connected,Send Clinical Data,0.76,1.0,Pass,No
