UsageID,UsageDate,RepID,Drug,TherapyArea,Topic,QueryType,AnswerQuality,TimeToAnswerSec,TimeSavedMinutes,UsedInHCPInteraction,UserSatisfaction,HCPID
MSL-000001,2025-07-01,REP-002,CardioPlus-25mg,Oncology,Patient Selection Criteria,Pre-Meeting Prep,Partially Answered,23.5,15.8,1,2,HCP-0357
MSL-000002,2025-07-01,REP-002,DrugBeta-50mg,Oncology,Long-term Outcomes,Pre-Meeting Prep,Fully Answered,2.2,8.5,1,4,HCP-0155
MSL-000003,2025-07-01,REP-002,NeuroX-75mg,Oncology,Subgroup Analysis,Post-Call Follow-up,Fully Answered,12.3,9.8,0,5,
MSL-000004,2025-07-01,REP-004,DrugBeta-50mg,Cardiology,Drug Interactions,Pre-Meeting Prep,Partially Answered,16.3,12.8,0,2,
MSL-000005,2025-07-01,REP-004,DrugGamma-200mg,Cardiology,Dosing Guidelines,Live During HCP Call,Partially Answered,7.3,16.1,1,3,HCP-0387
MSL-000006,2025-07-01,REP-004,CardioPlus-25mg,Cardiology,Adverse Events / Safety,Post-Call Follow-up,Fully Answered,8.6,13.7,0,5,
MSL-000007,2025-07-01,REP-004,NeuroX-75mg,Cardiology,Adverse Events / Safety,Pre-Meeting Prep,Partially Answered,14.6,24.6,1,3,HCP-0270
MSL-000008,2025-07-01,REP-008,DrugGamma-200mg,Immunology,Drug Interactions,Pre-Meeting Prep,No Answer Found,16.5,0,0,3,
MSL-000009,2025-07-01,REP-008,DrugAlpha-100mg,Immunology,Dosing Guidelines,Post-Call Follow-up,Fully Answered,4.7,12.9,0,4,
MSL-000010,2025-07-01,REP-008,DrugAlpha-100mg,Immunology,Biomarker Data,Live During HCP Call,Fully Answered,4.0,2,0,5,
MSL-000011,2025-07-01,REP-008,DrugGamma-200mg,Immunology,Pharmacokinetics,Pre-Meeting Prep,Fully Answered,10.0,11.9,0,5,
MSL-000012,2025-07-01,REP-009,DrugGamma-200mg,Cardiology,Adverse Events / Safety,Pre-Meeting Prep,Redirected to Medical,34.9,0,0,3,
MSL-000013,2025-07-01,REP-009,CardioPlus-25mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,5.6,6.2,1,4,HCP-0288
MSL-000014,2025-07-01,REP-009,DrugAlpha-100mg,Cardiology,Pharmacokinetics,Live During HCP Call,Fully Answered,9.6,17.7,1,5,HCP-0041
MSL-000015,2025-07-01,REP-009,CardioPlus-25mg,Cardiology,Guidelines / Protocols,Post-Call Follow-up,Partially Answered,17.3,13.9,0,3,
MSL-000016,2025-07-01,REP-009,DrugBeta-50mg,Cardiology,Competitor Comparison,Self-Study,Fully Answered,6.0,16.9,0,4,
MSL-000017,2025-07-01,REP-009,DrugAlpha-100mg,Cardiology,Long-term Outcomes,Self-Study,Fully Answered,10.8,14.6,0,5,
