outcome,tactic,segment_type,segment_value,treated_value,control_value,uplift,ci_low,ci_high,n_treated,n_control,significant
Meaningful Interaction,AI-Followed vs Not,Overall,All,0.2924,0.1934,0.099,0.085,0.113,6289,8711,1
Meaningful Interaction,Script A vs B,Overall,All,0.272,0.1978,0.0742,0.0607,0.0877,7503,7497,1
Meaningful Interaction,Video vs Phone,Overall,All,0.2908,0.2238,0.067,0.0424,0.0916,1458,10584,1
Meaningful Interaction,Email vs Phone,Overall,All,0.2471,0.2238,0.0233,0.0058,0.0408,2958,10584,1
Meaningful Interaction,AI-Followed vs Not,Specialty,Cardiologist,0.2951,0.1971,0.098,0.0635,0.1325,1030,1461,1
Meaningful Interaction,Script A vs B,Specialty,Cardiologist,0.2695,0.2053,0.0642,0.0309,0.0975,1254,1237,1
Meaningful Interaction,Video vs Phone,Specialty,Cardiologist,0.2727,0.2301,0.0426,-0.0181,0.1033,231,1760,0
Meaningful Interaction,Email vs Phone,Specialty,Cardiologist,0.248,0.2301,0.0179,-0.0248,0.0605,500,1760,0
Meaningful Interaction,AI-Followed vs Not,Specialty,General Practitioner,0.2782,0.1947,0.0836,0.0428,0.1243,708,1053,1
Meaningful Interaction,Script A vs B,Specialty,General Practitioner,0.2564,0.1988,0.0575,0.0185,0.0966,901,860,1
Meaningful Interaction,Video vs Phone,Specialty,General Practitioner,0.3117,0.2196,0.0921,0.0155,0.1688,154,1248,1
Meaningful Interaction,Email vs Phone,Specialty,General Practitioner,0.2228,0.2196,0.0033,-0.0455,0.0521,359,1248,0
Meaningful Interaction,AI-Followed vs Not,Specialty,Immunologist,0.2709,0.1822,0.0887,0.0505,0.1269,790,1147,1
Meaningful Interaction,Script A vs B,Specialty,Immunologist,0.257,0.1798,0.0772,0.0406,0.1138,969,968,1
Meaningful Interaction,Video vs Phone,Specialty,Immunologist,0.3086,0.2039,0.1048,0.0306,0.179,162,1393,1
Meaningful Interaction,Email vs Phone,Specialty,Immunologist,0.233,0.2039,0.0291,-0.0183,0.0765,382,1393,0
Meaningful Interaction,AI-Followed vs Not,Specialty,Internist,0.3068,0.1949,0.1118,0.0746,0.149,916,1226,1
Meaningful Interaction,Script A vs B,Specialty,Internist,0.2782,0.2073,0.071,0.0348,0.1072,1071,1071,1
Meaningful Interaction,Video vs Phone,Specialty,Internist,0.3362,0.2232,0.113,0.049,0.1769,235,1510,1
Meaningful Interaction,Email vs Phone,Specialty,Internist,0.262,0.2232,0.0388,-0.0093,0.0869,397,1510,0
Meaningful Interaction,AI-Followed vs Not,Specialty,Neurologist,0.3029,0.1948,0.1081,0.0722,0.1441,964,1335,1
Meaningful Interaction,Script A vs B,Specialty,Neurologist,0.289,0.1919,0.0971,0.0624,0.1318,1142,1157,1
Meaningful Interaction,Video vs Phone,Specialty,Neurologist,0.2566,0.2351,0.0215,-0.035,0.0781,265,1608,0
