actual_id,cost_center_id,account_id,department_id,transaction_date,amount,vendor
1,CC001,ACC001,DEPT03,2023-01-13,112858.71,AlphaServices
2,CC001,ACC001,DEPT03,2023-01-10,102287.52,SwiftHire
3,CC001,ACC001,DEPT03,2023-02-06,258219.75,OmniTech
4,CC001,ACC001,DEPT03,2023-03-26,184437.38,CoreLogic
5,CC001,ACC001,DEPT03,2023-04-17,162521.87,SwiftHire
6,CC001,ACC001,DEPT03,2023-05-08,113778.09,OmniTech
7,CC001,ACC001,DEPT03,2023-06-25,152411.05,NetWorks Inc
8,CC001,ACC001,DEPT03,2023-07-17,170274.3,Acme Corp
9,CC001,ACC001,DEPT03,2023-08-10,148913.2,SwiftHire
10,CC001,ACC001,DEPT03,2023-09-27,60185.34,DataPro
11,CC001,ACC001,DEPT03,2023-09-07,57063.42,BrightPath
12,CC001,ACC001,DEPT03,2023-09-19,75093.13,Acme Corp
13,CC001,ACC001,DEPT03,2023-10-03,135976.79,CoreLogic
14,CC001,ACC001,DEPT03,2023-11-09,60135.14,RedPoint
15,CC001,ACC001,DEPT03,2023-11-26,54448.92,AlphaServices
16,CC001,ACC001,DEPT03,2023-11-15,48275.19,NetWorks Inc
17,CC001,ACC001,DEPT03,2023-12-25,94819.1,BrightPath
18,CC001,ACC001,DEPT03,2023-12-19,92209.92,BlueWave
19,CC001,ACC001,DEPT03,2024-01-21,115328.01,GreenLight
20,CC001,ACC001,DEPT03,2024-02-11,103431.76,NetWorks Inc
21,CC001,ACC001,DEPT03,2024-02-17,137083.64,CoreLogic
22,CC001,ACC001,DEPT03,2024-03-03,54922.23,NetWorks Inc
23,CC001,ACC001,DEPT03,2024-03-27,65315.22,CloudBase
24,CC001,ACC001,DEPT03,2024-04-12,49442.72,PrimeSoft
25,CC001,ACC001,DEPT03,2024-04-09,57783.02,GlobalServ
26,CC001,ACC001,DEPT03,2024-04-22,58837.17,RedPoint
27,CC001,ACC001,DEPT03,2024-05-24,193289.17,PrimeSoft
28,CC001,ACC001,DEPT03,2024-06-08,177564.77,BlueWave
29,CC001,ACC001,DEPT03,2024-07-03,146549.68,OmniTech
30,CC001,ACC001,DEPT03,2024-08-28,188495.87,CoreLogic
31,CC001,ACC001,DEPT03,2024-09-11,98791.18,BrightPath
32,CC001,ACC001,DEPT03,2024-09-19,120744.45,BlueWave
33,CC001,ACC001,DEPT03,2024-10-17,160299.69,DataPro
34,CC001,ACC001,DEPT03,2024-11-17,65818.87,GreenLight
35,CC001,ACC001,DEPT03,2024-11-18,74939.98,Acme Corp
36,CC001,ACC001,DEPT03,2024-12-06,203415.28,BrightPath
37,CC001,ACC012,DEPT03,2023-01-23,4328.31,Acme Corp
38,CC001,ACC012,DEPT03,2023-01-07,3539.64,NetWorks Inc
39,CC001,ACC012,DEPT03,2023-02-09,7669.17,GlobalServ
40,CC001,ACC012,DEPT03,2023-03-20,6881.72,CloudBase
41,CC001,ACC012,DEPT03,2023-04-23,6120.8,GreenLight
42,CC001,ACC012,DEPT03,2023-05-06,2822.33,AlphaServices
43,CC001,ACC012,DEPT03,2023-05-19,2638.49,OmniTech
44,CC001,ACC012,DEPT03,2023-06-08,5396.4,CoreLogic
45,CC001,ACC012,DEPT03,2023-07-24,5980.77,GlobalServ
46,CC001,ACC012,DEPT03,2023-08-05,6612.09,RedPoint
47,CC001,ACC012,DEPT03,2023-09-26,9194.53,BrightPath
48,CC001,ACC012,DEPT03,2023-10-13,6374.93,TechVentures
49,CC001,ACC012,DEPT03,2023-11-16,8632.35,BlueWave
50,CC001,ACC012,DEPT03,2023-12-12,6090.08,CloudBase
51,CC001,ACC012,DEPT03,2024-01-01,1978.11,NetWorks Inc
52,CC001,ACC012,DEPT03,2024-01-28,1858.53,OmniTech
53,CC001,ACC012,DEPT03,2024-01-07,2596.15,AlphaServices
54,CC001,ACC012,DEPT03,2024-02-25,2915.85,DataPro
55,CC001,ACC012,DEPT03,2024-02-22,3157.98,CoreLogic
56,CC001,ACC012,DEPT03,2024-03-13,3554.62,AlphaServices
57,CC001,ACC012,DEPT03,2024-03-21,2812.72,GlobalServ
58,CC001,ACC012,DEPT03,2024-04-14,4401.92,OmniTech
59,CC001,ACC012,DEPT03,2024-04-13,3926.56,BlueWave
60,CC001,ACC012,DEPT03,2024-05-11,6956.92,CloudBase
61,CC001,ACC012,DEPT03,2024-06-13,3608.77,DataPro
62,CC001,ACC012,DEPT03,2024-06-25,3999.79,BlueWave
63,CC001,ACC012,DEPT03,2024-07-15,4229.25,NetWorks Inc
64,CC001,ACC012,DEPT03,2024-07-28,3636.0,Acme Corp
65,CC001,ACC012,DEPT03,2024-08-24,4862.69,SwiftHire
66,CC001,ACC012,DEPT03,2024-09-04,7059.13,TechVentures
67,CC001,ACC012,DEPT03,2024-10-25,6314.42,NetWorks Inc
68,CC001,ACC012,DEPT03,2024-11-20,1827.32,GlobalServ
69,CC001,ACC012,DEPT03,2024-11-13,1810.28,DataPro
70,CC001,ACC012,DEPT03,2024-11-24,1936.25,DataPro
71,CC001,ACC012,DEPT03,2024-12-06,7222.78,Acme Corp
72,CC001,ACC005,DEPT03,2023-01-28,5393.37,BrightPath
73,CC001,ACC005,DEPT03,2023-02-18,3137.89,BrightPath
74,CC001,ACC005,DEPT03,2023-02-23,2282.82,CoreLogic
75,CC001,ACC005,DEPT03,2023-03-21,5414.15,RedPoint
76,CC001,ACC005,DEPT03,2023-04-10,5898.73,RedPoint
77,CC001,ACC005,DEPT03,2023-05-15,5901.16,DataPro
78,CC001,ACC005,DEPT03,2023-06-01,5504.88,CoreLogic
79,CC001,ACC005,DEPT03,2023-07-16,3222.04,CoreLogic
80,CC001,ACC005,DEPT03,2023-07-16,2760.75,GreenLight
81,CC001,ACC005,DEPT03,2023-08-10,5653.26,AlphaServices
82,CC001,ACC005,DEPT03,2023-09-14,4990.53,RedPoint
83,CC001,ACC005,DEPT03,2023-10-24,5529.99,OmniTech
84,CC001,ACC005,DEPT03,2023-11-14,5260.82,OmniTech
85,CC001,ACC005,DEPT03,2023-12-26,2802.98,SwiftHire
86,CC001,ACC005,DEPT03,2023-12-10,2585.95,OmniTech
87,CC001,ACC005,DEPT03,2024-01-28,2836.9,TechVentures
88,CC001,ACC005,DEPT03,2024-01-10,2565.9,TechVentures
89,CC001,ACC005,DEPT03,2024-02-20,2709.96,BrightPath
