budget_id,cost_center_id,account_id,department_id,budget_month,budget_amount
1,CC001,ACC001,DEPT03,2023-01-01,174326.96
2,CC001,ACC001,DEPT03,2023-02-01,181583.31
3,CC001,ACC001,DEPT03,2023-03-01,154466.58
4,CC001,ACC001,DEPT03,2023-04-01,165747.24
5,CC001,ACC001,DEPT03,2023-05-01,152542.32
6,CC001,ACC001,DEPT03,2023-06-01,158901.59
7,CC001,ACC001,DEPT03,2023-07-01,168556.89
8,CC001,ACC001,DEPT03,2023-08-01,152432.5
9,CC001,ACC001,DEPT03,2023-09-01,158234.81
10,CC001,ACC001,DEPT03,2023-10-01,173423.95
11,CC001,ACC001,DEPT03,2023-11-01,169889.96
12,CC001,ACC001,DEPT03,2023-12-01,158962.3
13,CC001,ACC001,DEPT03,2024-01-01,171382.6
14,CC001,ACC001,DEPT03,2024-02-01,178796.71
15,CC001,ACC001,DEPT03,2024-03-01,151757.74
16,CC001,ACC001,DEPT03,2024-04-01,178675.1
17,CC001,ACC001,DEPT03,2024-05-01,175048.95
18,CC001,ACC001,DEPT03,2024-06-01,162996.93
19,CC001,ACC001,DEPT03,2024-07-01,156774.71
20,CC001,ACC001,DEPT03,2024-08-01,183773.34
21,CC001,ACC001,DEPT03,2024-09-01,162873.82
22,CC001,ACC001,DEPT03,2024-10-01,154662.14
23,CC001,ACC001,DEPT03,2024-11-01,154795.85
24,CC001,ACC001,DEPT03,2024-12-01,180078.53
25,CC001,ACC012,DEPT03,2023-01-01,6828.72
26,CC001,ACC012,DEPT03,2023-02-01,6729.13
27,CC001,ACC012,DEPT03,2023-03-01,6480.15
28,CC001,ACC012,DEPT03,2023-04-01,7042.3
29,CC001,ACC012,DEPT03,2023-05-01,6277.24
30,CC001,ACC012,DEPT03,2023-06-01,6500.5
31,CC001,ACC012,DEPT03,2023-07-01,6857.38
32,CC001,ACC012,DEPT03,2023-08-01,6586.03
33,CC001,ACC012,DEPT03,2023-09-01,6898.95
34,CC001,ACC012,DEPT03,2023-10-01,6533.06
35,CC001,ACC012,DEPT03,2023-11-01,6696.76
36,CC001,ACC012,DEPT03,2023-12-01,5849.14
37,CC001,ACC012,DEPT03,2024-01-01,6083.42
38,CC001,ACC012,DEPT03,2024-02-01,6162.54
39,CC001,ACC012,DEPT03,2024-03-01,5892.85
40,CC001,ACC012,DEPT03,2024-04-01,6089.71
41,CC001,ACC012,DEPT03,2024-05-01,5920.14
42,CC001,ACC012,DEPT03,2024-06-01,6147.85
43,CC001,ACC012,DEPT03,2024-07-01,6608.12
44,CC001,ACC012,DEPT03,2024-08-01,6259.61
45,CC001,ACC012,DEPT03,2024-09-01,6266.5
46,CC001,ACC012,DEPT03,2024-10-01,6059.75
47,CC001,ACC012,DEPT03,2024-11-01,6133.7
48,CC001,ACC012,DEPT03,2024-12-01,6995.38
49,CC001,ACC005,DEPT03,2023-01-01,5657.08
50,CC001,ACC005,DEPT03,2023-02-01,5172.12
51,CC001,ACC005,DEPT03,2023-03-01,5789.95
52,CC001,ACC005,DEPT03,2023-04-01,5163.55
53,CC001,ACC005,DEPT03,2023-05-01,5402.77
54,CC001,ACC005,DEPT03,2023-06-01,6078.27
55,CC001,ACC005,DEPT03,2023-07-01,5691.26
56,CC001,ACC005,DEPT03,2023-08-01,5599.31
57,CC001,ACC005,DEPT03,2023-09-01,5740.66
58,CC001,ACC005,DEPT03,2023-10-01,5915.87
59,CC001,ACC005,DEPT03,2023-11-01,5841.85
60,CC001,ACC005,DEPT03,2023-12-01,5236.24
61,CC001,ACC005,DEPT03,2024-01-01,5018.17
62,CC001,ACC005,DEPT03,2024-02-01,5331.91
63,CC001,ACC005,DEPT03,2024-03-01,5279.08
64,CC001,ACC005,DEPT03,2024-04-01,5216.23
65,CC001,ACC005,DEPT03,2024-05-01,6026.66
66,CC001,ACC005,DEPT03,2024-06-01,5952.98
67,CC001,ACC005,DEPT03,2024-07-01,5331.05
68,CC001,ACC005,DEPT03,2024-08-01,5708.36
69,CC001,ACC005,DEPT03,2024-09-01,5420.69
70,CC001,ACC005,DEPT03,2024-10-01,5995.26
71,CC001,ACC005,DEPT03,2024-11-01,5490.69
72,CC001,ACC005,DEPT03,2024-12-01,5275.91
73,CC001,ACC004,DEPT03,2023-01-01,13799.28
74,CC001,ACC004,DEPT03,2023-02-01,12985.1
75,CC001,ACC004,DEPT03,2023-03-01,13862.58
76,CC001,ACC004,DEPT03,2023-04-01,14716.58
77,CC001,ACC004,DEPT03,2023-05-01,13357.69
78,CC001,ACC004,DEPT03,2023-06-01,12866.72
79,CC001,ACC004,DEPT03,2023-07-01,14988.45
80,CC001,ACC004,DEPT03,2023-08-01,13657.94
81,CC001,ACC004,DEPT03,2023-09-01,12516.62
82,CC001,ACC004,DEPT03,2023-10-01,12397.22
83,CC001,ACC004,DEPT03,2023-11-01,12567.71
84,CC001,ACC004,DEPT03,2023-12-01,13979.43
85,CC001,ACC004,DEPT03,2024-01-01,14428.29
86,CC001,ACC004,DEPT03,2024-02-01,13419.74
87,CC001,ACC004,DEPT03,2024-03-01,12441.97
88,CC001,ACC004,DEPT03,2024-04-01,13309.21
89,CC001,ACC004,DEPT03,2024-05-01,14984.58
90,CC001,ACC004,DEPT03,2024-06-01,13711.34
91,CC001,ACC004,DEPT03,2024-07-01,14916.31
92,CC001,ACC004,DEPT03,2024-08-01,14615.59
93,CC001,ACC004,DEPT03,2024-09-01,12300.07
94,CC001,ACC004,DEPT03,2024-10-01,14233.74
95,CC001,ACC004,DEPT03,2024-11-01,14127.38
96,CC001,ACC004,DEPT03,2024-12-01,13732.76
97,CC001,ACC014,DEPT03,2023-01-01,11999.65
98,CC001,ACC014,DEPT03,2023-02-01,10763.94
99,CC001,ACC014,DEPT03,2023-03-01,11518.36
100,CC001,ACC014,DEPT03,2023-04-01,11562.62
101,CC001,ACC014,DEPT03,2023-05-01,12729.89
102,CC001,ACC014,DEPT03,2023-06-01,12547.92
103,CC001,ACC014,DEPT03,2023-07-01,11118.35
104,CC001,ACC014,DEPT03,2023-08-01,11672.0
105,CC001,ACC014,DEPT03,2023-09-01,10920.56
106,CC001,ACC014,DEPT03,2023-10-01,12633.76
107,CC001,ACC014,DEPT03,2023-11-01,12535.47
108,CC001,ACC014,DEPT03,2023-12-01,11200.17
109,CC001,ACC014,DEPT03,2024-01-01,11994.96
110,CC001,ACC014,DEPT03,2024-02-01,11924.98
111,CC001,ACC014,DEPT03,2024-03-01,10860.31
112,CC001,ACC014,DEPT03,2024-04-01,12283.36
113,CC001,ACC014,DEPT03,2024-05-01,11762.55
114,CC001,ACC014,DEPT03,2024-06-01,12320.98
115,CC001,ACC014,DEPT03,2024-07-01,11741.48
116,CC001,ACC014,DEPT03,2024-08-01,10504.9
117,CC001,ACC014,DEPT03,2024-09-01,11260.19
118,CC001,ACC014,DEPT03,2024-10-01,10549.03
119,CC001,ACC014,DEPT03,2024-11-01,12672.2
120,CC001,ACC014,DEPT03,2024-12-01,12554.61
121,CC001,ACC003,DEPT03,2023-01-01,20476.78
122,CC001,ACC003,DEPT03,2023-02-01,19413.7
123,CC001,ACC003,DEPT03,2023-03-01,22906.71
124,CC001,ACC003,DEPT03,2023-04-01,23200.35
125,CC001,ACC003,DEPT03,2023-05-01,19531.8
126,CC001,ACC003,DEPT03,2023-06-01,21236.97
127,CC001,ACC003,DEPT03,2023-07-01,19461.78
128,CC001,ACC003,DEPT03,2023-08-01,22406.63
129,CC001,ACC003,DEPT03,2023-09-01,22428.92
130,CC001,ACC003,DEPT03,2023-10-01,19713.84
131,CC001,ACC003,DEPT03,2023-11-01,21191.36
132,CC001,ACC003,DEPT03,2023-12-01,21508.77
133,CC001,ACC003,DEPT03,2024-01-01,20295.94
134,CC001,ACC003,DEPT03,2024-02-01,22882.96
135,CC001,ACC003,DEPT03,2024-03-01,20969.26
136,CC001,ACC003,DEPT03,2024-04-01,20069.1
137,CC001,ACC003,DEPT03,2024-05-01,21464.02
138,CC001,ACC003,DEPT03,2024-06-01,22275.99
139,CC001,ACC003,DEPT03,2024-07-01,20023.75
140,CC001,ACC003,DEPT03,2024-08-01,20494.68
141,CC001,ACC003,DEPT03,2024-09-01,23405.65
142,CC001,ACC003,DEPT03,2024-10-01,21935.02
143,CC001,ACC003,DEPT03,2024-11-01,21032.99
144,CC001,ACC003,DEPT03,2024-12-01,21371.5
145,CC002,ACC004,DEPT02,2023-01-01,24818.62
146,CC002,ACC004,DEPT02,2023-02-01,21983.6
147,CC002,ACC004,DEPT02,2023-03-01,25400.99
148,CC002,ACC004,DEPT02,2023-04-01,22235.68
149,CC002,ACC004,DEPT02,2023-05-01,22277.27
150,CC002,ACC004,DEPT02,2023-06-01,22101.74
151,CC002,ACC004,DEPT02,2023-07-01,23560.18
152,CC002,ACC004,DEPT02,2023-08-01,24456.3
153,CC002,ACC004,DEPT02,2023-09-01,23306.79
154,CC002,ACC004,DEPT02,2023-10-01,24316.11
155,CC002,ACC004,DEPT02,2023-11-01,24578.61
156,CC002,ACC004,DEPT02,2023-12-01,25476.64
157,CC002,ACC004,DEPT02,2024-01-01,26252.31
158,CC002,ACC004,DEPT02,2024-02-01,24758.97
159,CC002,ACC004,DEPT02,2024-03-01,23133.74
160,CC002,ACC004,DEPT02,2024-04-01,24255.43
161,CC002,ACC004,DEPT02,2024-05-01,23933.94
162,CC002,ACC004,DEPT02,2024-06-01,22408.6
163,CC002,ACC004,DEPT02,2024-07-01,25162.68
164,CC002,ACC004,DEPT02,2024-08-01,23676.6
165,CC002,ACC004,DEPT02,2024-09-01,23953.66
166,CC002,ACC004,DEPT02,2024-10-01,26161.85
167,CC002,ACC004,DEPT02,2024-11-01,22212.75
168,CC002,ACC004,DEPT02,2024-12-01,25135.72
169,CC002,ACC015,DEPT02,2023-01-01,3108.34
170,CC002,ACC015,DEPT02,2023-02-01,3563.35
171,CC002,ACC015,DEPT02,2023-03-01,3612.68
172,CC002,ACC015,DEPT02,2023-04-01,3141.5
