snapshot_date,employee_id,department_id,job_level,salary,performance_rating,engagement_score,is_active
2023-01-01,EMP004,DEP05,JL3,105066.0,4,6.8,1
2023-01-01,EMP007,DEP04,JL3,91792.0,3,5.0,1
2023-01-01,EMP008,DEP02,JL5,190895.0,4,3.6,1
2023-01-01,EMP009,DEP05,JL2,70361.0,5,5.6,1
2023-01-01,EMP015,DEP01,JL2,75027.0,5,6.6,1
2023-01-01,EMP017,DEP05,JL5,193854.0,5,8.9,1
2023-01-01,EMP023,DEP04,JL3,86380.0,3,3.3,1
2023-01-01,EMP030,DEP04,JL2,61805.0,4,8.0,1
2023-01-01,EMP032,DEP02,JL2,60326.0,4,5.8,1
2023-01-01,EMP036,DEP08,JL4,130263.0,4,5.8,1
2023-01-01,EMP037,DEP01,JL3,97377.0,4,5.2,1
2023-01-01,EMP038,DEP07,JL4,120093.0,3,4.0,1
2023-01-01,EMP039,DEP07,JL3,82431.0,4,8.1,1
2023-01-01,EMP043,DEP01,JL4,118284.0,3,3.9,1
2023-01-01,EMP044,DEP03,JL5,169759.0,3,4.9,1
2023-01-01,EMP050,DEP02,JL2,58890.0,3,2.6,1
2023-01-01,EMP052,DEP06,JL1,46333.0,3,4.4,1
2023-01-01,EMP054,DEP05,JL3,92386.0,4,7.3,1
2023-01-01,EMP055,DEP04,JL3,102080.0,3,4.8,1
2023-01-01,EMP056,DEP02,JL3,97857.0,4,4.7,1
2023-01-01,EMP058,DEP02,JL4,132782.0,3,3.3,1
2023-01-01,EMP061,DEP01,JL5,182600.0,5,8.2,1
2023-01-01,EMP062,DEP01,JL3,97242.0,3,4.3,1
2023-01-01,EMP063,DEP04,JL5,187706.0,1,1.6,1
2023-01-01,EMP064,DEP04,JL4,130945.0,4,4.7,1
2023-01-01,EMP066,DEP07,JL3,84898.0,4,7.1,1
2023-01-01,EMP068,DEP03,JL3,95343.0,5,6.7,1
2023-01-01,EMP069,DEP06,JL3,97844.0,4,7.0,1
2023-01-01,EMP070,DEP01,JL4,138692.0,2,2.8,1
2023-01-01,EMP071,DEP03,JL3,91879.0,3,5.9,1
2023-01-01,EMP073,DEP06,JL3,94522.0,4,6.1,1
2023-01-01,EMP075,DEP07,JL3,89322.0,4,6.7,1
2023-01-01,EMP076,DEP05,JL5,222798.0,4,8.0,1
2023-01-01,EMP077,DEP08,JL3,98242.0,3,4.2,1
2023-01-01,EMP079,DEP01,JL3,101745.0,4,5.9,1
2023-01-01,EMP080,DEP01,JL3,91941.0,3,6.3,1
2023-01-01,EMP081,DEP01,JL3,93173.0,4,7.4,1
2023-01-01,EMP082,DEP07,JL4,139462.0,4,5.9,1
2023-01-01,EMP083,DEP07,JL2,64312.0,3,4.7,1
2023-01-01,EMP084,DEP04,JL4,128358.0,4,4.9,1
2023-01-01,EMP086,DEP02,JL2,68024.0,3,6.3,1
2023-01-01,EMP088,DEP03,JL3,109845.0,4,6.2,1
2023-01-01,EMP089,DEP03,JL4,142327.0,3,3.6,1
2023-01-01,EMP090,DEP04,JL3,99075.0,4,4.9,1
2023-01-01,EMP092,DEP02,JL3,89699.0,4,5.0,1
2023-01-01,EMP093,DEP03,JL4,138231.0,3,4.3,1
2023-01-01,EMP095,DEP04,JL2,62927.0,2,3.7,1
2023-01-01,EMP096,DEP07,JL3,102218.0,3,5.8,1
2023-01-01,EMP097,DEP08,JL4,142356.0,5,6.9,1
2023-01-01,EMP100,DEP02,JL4,136588.0,3,4.2,1
2023-01-01,EMP101,DEP03,JL4,130171.0,3,5.4,1
2023-01-01,EMP103,DEP03,JL4,122353.0,3,3.0,1
2023-01-01,EMP104,DEP01,JL1,44563.0,4,5.9,1
2023-01-01,EMP105,DEP04,JL3,84775.0,5,8.2,1
2023-01-01,EMP107,DEP07,JL4,119998.0,5,7.8,1
2023-01-01,EMP109,DEP04,JL3,92137.0,3,6.0,1
2023-01-01,EMP110,DEP04,JL4,124778.0,3,3.4,1
2023-01-01,EMP111,DEP08,JL2,56978.0,3,4.5,1
2023-01-01,EMP113,DEP01,JL3,102766.0,5,9.3,1
2023-01-01,EMP114,DEP03,JL1,44902.0,3,5.1,1
2023-01-01,EMP116,DEP05,JL3,98057.0,4,6.8,1
2023-01-01,EMP117,DEP03,JL4,132158.0,5,7.8,1
2023-01-01,EMP118,DEP01,JL3,89020.0,3,3.1,1
2023-01-01,EMP119,DEP01,JL4,129077.0,3,2.4,1
2023-01-01,EMP121,DEP03,JL3,110501.0,3,2.6,1
2023-01-01,EMP122,DEP04,JL5,188802.0,4,3.5,1
2023-01-01,EMP123,DEP01,JL4,129384.0,2,4.4,1
2023-01-01,EMP125,DEP03,JL3,103972.0,4,8.2,1
2023-01-01,EMP126,DEP04,JL3,103280.0,4,5.6,1
