requisition_id,department_id,job_level,open_date,close_date,applications_received,offers_made,hires
REQ0001,DEP01,JL2,2023-05-08,2023-08-31,60,4,4
REQ0002,DEP02,JL2,2023-10-03,2023-12-23,19,2,2
REQ0003,DEP07,JL5,2023-10-13,2023-12-20,26,2,2
REQ0004,DEP01,JL5,2024-07-25,2024-09-29,97,5,4
REQ0005,DEP01,JL3,2022-09-01,2022-10-29,57,3,3
REQ0006,DEP07,JL4,2024-02-02,2024-04-28,37,3,3
REQ0007,DEP01,JL2,2023-01-16,2023-03-01,103,2,1
REQ0008,DEP01,JL2,2022-12-03,2023-03-21,34,5,4
REQ0009,DEP02,JL3,2023-09-04,2023-09-24,53,3,3
REQ0010,DEP03,JL1,2023-06-19,2023-08-20,82,1,1
REQ0011,DEP02,JL3,2024-06-01,2024-09-18,90,2,1
REQ0012,DEP05,JL2,2023-08-23,2023-11-12,18,4,1
REQ0013,DEP01,JL1,2023-10-03,2023-10-21,113,2,2
REQ0014,DEP02,JL2,2023-11-07,2024-01-02,114,5,4
REQ0015,DEP07,JL4,2024-06-17,2024-08-19,18,5,5
REQ0016,DEP08,JL3,2023-09-16,2023-12-30,59,1,1
REQ0017,DEP04,JL1,2023-10-21,2024-01-31,124,2,1
REQ0018,DEP01,JL3,2023-04-03,2023-06-15,20,5,4
REQ0019,DEP05,JL1,2022-08-17,2022-10-06,140,5,5
REQ0020,DEP01,JL3,2024-11-15,2024-12-07,50,2,2
REQ0021,DEP04,JL2,2022-09-08,2022-10-10,43,2,1
REQ0022,DEP08,JL2,2024-08-27,2024-11-26,76,4,4
REQ0023,DEP06,JL1,2023-06-11,2023-09-23,89,1,1
REQ0024,DEP03,JL2,2023-02-26,2023-04-29,127,4,2
REQ0025,DEP05,JL1,2023-04-20,2023-05-12,113,5,5
REQ0026,DEP04,JL4,2023-03-08,2023-05-29,122,2,1
REQ0027,DEP01,JL1,2023-10-01,2024-01-19,126,1,1
