investment_firm_lei,DEA,client_ID,invest_dec,within_firm,non_exec,trading_capacity,liq_prov_activity,date_time,validity_period,order_restriction,validity_period_ts,priority_time,priority_size,sequence_no,MIC,order_book_code,fin_instr_ID,receipt_date,order_ID,order_event_type,order_type,order_type_class,limit_price,additional_limit_price,stop_price,pegged_limit_price,transaction_price,currency,leg2_currency,price_notation,buy_sell,order_status,quantity_notation,quantity_currency,initial_quantity,remaining_quantity,displayed_quantity,traded_quantity,MAQ,MES,MES_first,passive_only,passive_aggressive,self_exec_prevention,sl_order_ID,routing_strategy,trading_venue_trans_ID,trading_phases,auction_price,auction_volume,reserved fields
SYNTHLEI0000000D0004,FALSE,NONE,NONE,,,DEAL,FALSE,2025-07-11T07:00:14.064744Z,GTDV,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:00:14.064744Z,,1,XMKT,BRVO,ZZ0000000102,2025-07-11T07:00:14.064744Z,100103,NEWO,L,LMTO,2.0872,0,0,0,0,EUR,,MONE,SELL,ACTI,,,500,500,500,,,,,,,,,,T10010392,,,,
SYNTHLEI0000000D0004,FALSE,NONE,NONE,,,DEAL,FALSE,2025-07-11T07:00:42.064744Z,GTDV,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:00:42.064744Z,,2,XMKT,BRVO,ZZ0000000102,2025-07-11T07:00:42.064744Z,100103,REME,L,LMTO,2.0888,,,,,EUR,,MONE,SELL,ACTI,,,500,500,500,,,,,,,,,,T10010392,,,,
SYNTHLEI0000000E0005,FALSE,CL1012,NONE,,,MTCH,FALSE,2025-07-11T07:00:51.274517Z,GTDV,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:00:51.274517Z,,3,XMKT,JULT,ZZ0000000110,2025-07-11T07:00:51.274517Z,100320,NEWO,L,LMTO,11.3842,0,0,0,0,EUR,,MONE,SELL,ACTI,,,200,200,200,,,,,,,,,,T10032099,,,,
SYNTHLEI0000000G0007,FALSE,NONE,ALGOPT,,,MTCH,FALSE,2025-07-11T07:01:09.405219Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:09.405219Z,,4,XMKT,INDX,ZZ0000000109,2025-07-11T07:01:09.405219Z,100211,NEWO,L,LMTO,0.4636,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,100,100,100,,,,,,,,,,T10021197,,,,
SYNTHLEI0000000B0002,FALSE,CL1033,NONE,,,AOTC,FALSE,2025-07-11T07:01:09.884064Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:09.884064Z,,5,XMKT,ECHO,ZZ0000000105,2025-07-11T07:01:09.884064Z,100267,NEWO,L,LMTO,7.9094,0,0,0,0,EUR,,MONE,SELL,ACTI,,,1500,1500,1500,,,,,,,,,,T10026721,,,,
SYNTHLEI0000000D0004,FALSE,NONE,ALGOPT,,,MTCH,FALSE,2025-07-11T07:01:21.742542Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:21.742542Z,,6,XDRV,FTSE25T4900,ZV0000000201,2025-07-11T07:01:21.742542Z,100105,NEWO,L,LMTO,107.7832,0,0,0,0,EUR,,MONE,SELL,ACTI,,,5,5,5,,,,,,,,,,T10010589,,,,
SYNTHLEI0000000C0003,FALSE,CL1022,NONE,,,DEAL,TRUE,2025-07-11T07:01:22.559885Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:22.559885Z,,7,XMKT,INDX,ZZ0000000109,2025-07-11T07:01:22.559885Z,100629,NEWO,L,LMTO,0.4643,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,60,60,60,,,,,,,,,,T10062972,,,,
SYNTHLEI0000000D0004,FALSE,NONE,NONE,,,DEAL,FALSE,2025-07-11T07:01:26.064744Z,GTDV,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:00:14.064744Z,,8,XMKT,BRVO,ZZ0000000102,2025-07-11T07:01:26.064744Z,100103,FILL,L,,,,,,2.0888,EUR,,MONE,SELL,,,,,0,,500,,,,,AGRE,,,,T10010392,,,,
SYNTHLEI0000000A0001,FALSE,CL1017,NONE,,,DEAL,TRUE,2025-07-11T07:02:19.327101Z,GTDV,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:02:19.327101Z,,9,XMKT,JULT,ZZ0000000110,2025-07-11T07:02:19.327101Z,100479,NEWO,L,LMTO,11.4068,0,0,0,0,EUR,,MONE,SELL,ACTI,,,5,5,5,,,,,,,,,,T10047914,,,,
SYNTHLEI0000000A0001,FALSE,CL1038,NONE,,,AOTC,FALSE,2025-07-11T07:02:31.909772Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:02:31.909772Z,,10,XMKT,JULT,ZZ0000000110,2025-07-11T07:02:31.909772Z,100165,NEWO,S,STOP,11.3871,0,11.626,0,0,EUR,,MONE,SELL,ACTI,,,40,40,40,,,,,,,,,,T10016530,,,,
SYNTHLEI0000000F0006,FALSE,NONE,ALGOPT,,,AOTC,FALSE,2025-07-11T07:02:41.991930Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:02:41.991930Z,,11,XMKT,FXTR,ZZ0000000106,2025-07-11T07:02:41.991930Z,100626,NEWO,S,STOP,3.1985,0,3.1437,0,0,EUR,,MONE,BUYI,ACTI,,,500,500,500,,,,,,,,,,T10062663,,,,
SYNTHLEI0000000F0006,FALSE,NONE,ALGOPT,,,AOTC,FALSE,2025-07-11T07:02:42.292930Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:02:41.991930Z,,12,XMKT,FXTR,ZZ0000000106,2025-07-11T07:02:42.292930Z,100626,CAME,S,STOP,,,,,,EUR,,MONE,BUYI,,,,500,0,0,,,,,,,,,,T10062663,,,,
SYNTHLEI0000000H0008,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:03:07.554626Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:07.554626Z,,13,XMKT,BRVO,ZZ0000000102,2025-07-11T07:03:07.554626Z,100430,NEWO,L,LMTO,2.0824,0,0,0,0,EUR,,MONE,SELL,ACTI,,,5,5,5,,,,,,,,,,T10043051,,,,
SYNTHLEI0000000B0002,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:03:15.006608Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:15.006608Z,,14,XMKT,CHRL,ZZ0000000103,2025-07-11T07:03:15.006608Z,100216,NEWO,L,LMTO,16.2592,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,5,5,5,,,,,,,,,,T10021651,,,,
SYNTHLEI0000000G0007,FALSE,NONE,ALGOPT,,,MTCH,FALSE,2025-07-11T07:03:29.405219Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:09.405219Z,,15,XMKT,INDX,ZZ0000000109,2025-07-11T07:03:29.405219Z,100211,PARF,L,,,,,,0.4636,EUR,,MONE,BUYI,,,,,79,,21,,,,,AGRE,,,,T10021197,,,,
SYNTHLEI0000000C0003,FALSE,CL1024,NONE,,,DEAL,FALSE,2025-07-11T07:03:31.196975Z,GTCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:03:31.196975Z,,16,XMKT,FXTR,ZZ0000000106,2025-07-11T07:03:31.196975Z,100279,NEWO,S,STOP,3.1961,0,3.1106,0,0,EUR,,MONE,BUYI,ACTI,,,150,150,150,,,,,,,,,,T10027950,,,,
SYNTHLEI0000000B0002,FALSE,CL1012,NONE,,,DEAL,FALSE,2025-07-11T07:04:05.837773Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:04:05.837773Z,,17,XMKT,ABLE,ZZ0000000101,2025-07-11T07:04:05.837773Z,100591,NEWO,L,LMTO,6.4963,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,20,20,20,,,,,,,,,,T10059136,,,,
SYNTHLEI0000000G0007,FALSE,NONE,ALGOPT,,,MTCH,FALSE,2025-07-11T07:04:12.405219Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:09.405219Z,,18,XMKT,INDX,ZZ0000000109,2025-07-11T07:04:12.405219Z,100211,FILL,L,,,,,,0.4636,EUR,,MONE,BUYI,,,,,0,,79,,,,,PASV,,,,T10021197,,,,
SYNTHLEI0000000H0008,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:04:39.554626Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:07.554626Z,,19,XMKT,BRVO,ZZ0000000102,2025-07-11T07:04:39.554626Z,100430,PARF,L,,,,,,2.0824,EUR,,MONE,SELL,,,,,4,,1,,,,,AGRE,,,,T10043051,,,,
SYNTHLEI0000000E0005,FALSE,CL1012,NONE,,,MTCH,FALSE,2025-07-11T07:05:32.274517Z,GTDV,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:00:51.274517Z,,20,XMKT,JULT,ZZ0000000110,2025-07-11T07:05:32.274517Z,100320,FILL,L,,,,,,11.3842,EUR,,MONE,SELL,,,,,0,,200,,,,,PASV,,,,T10032099,,,,
SYNTHLEI0000000H0008,FALSE,CL1035,NONE,,,AOTC,FALSE,2025-07-11T07:05:41.853987Z,IOCV,VFCR,9999-12-31T23:59:59.999999Z,2025-07-11T07:05:41.853987Z,,21,XDRV,FTSE25T4900,ZV0000000201,2025-07-11T07:05:41.853987Z,100123,NEWO,L,LMTO,107.8274,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,20,20,20,,,,,,,,,,T10012338,,,,
SYNTHLEI0000000C0003,FALSE,CL1022,NONE,,,DEAL,TRUE,2025-07-11T07:05:55.559885Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:01:22.559885Z,,22,XMKT,INDX,ZZ0000000109,2025-07-11T07:05:55.559885Z,100629,PARF,L,,,,,,0.4643,EUR,,MONE,BUYI,,,,,52,,8,,,,,PASV,,,,T10062972,,,,
SYNTHLEI0000000B0002,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:05:59.006608Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:15.006608Z,,23,XMKT,CHRL,ZZ0000000103,2025-07-11T07:05:59.006608Z,100216,PARF,L,,,,,,16.2592,EUR,,MONE,BUYI,,,,,4,,1,,,,,PASV,,,,T10021651,,,,
SYNTHLEI0000000H0008,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:06:02.554626Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:07.554626Z,,24,XMKT,BRVO,ZZ0000000102,2025-07-11T07:06:02.554626Z,100430,PARF,L,,,,,,2.0824,EUR,,MONE,SELL,,,,,3,,1,,,,,AGRE,,,,T10043051,,,,
SYNTHLEI0000000E0005,FALSE,CL1001,NONE,,,DEAL,TRUE,2025-07-11T07:06:59.538022Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:06:59.538022Z,,25,XMKT,BRVO,ZZ0000000102,2025-07-11T07:06:59.538022Z,100473,NEWO,L,LMTO,2.079,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,60,60,60,,,,,,,,,,T10047361,,,,
SYNTHLEI0000000E0005,FALSE,CL1001,NONE,,,DEAL,TRUE,2025-07-11T07:07:02.383022Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:07:02.383022Z,,26,XMKT,BRVO,ZZ0000000102,2025-07-11T07:07:02.383022Z,100473,REME,L,LMTO,2.0801,,,,,EUR,,MONE,BUYI,ACTI,,,60,60,60,,,,,,,,,,T10047361,,,,
SYNTHLEI0000000E0005,FALSE,CL1001,NONE,,,DEAL,TRUE,2025-07-11T07:07:05.660022Z,DAVY,VFAR,2025-07-11T23:59:59.999999Z,2025-07-11T07:07:05.660022Z,,27,XMKT,BRVO,ZZ0000000102,2025-07-11T07:07:05.660022Z,100473,CAME,L,LMTO,,,,,,EUR,,MONE,BUYI,,,,60,0,0,,,,,,,,,,T10047361,,,,
SYNTHLEI0000000B0002,FALSE,NONE,ALGO1,,,AOTC,FALSE,2025-07-11T07:07:29.006608Z,DAVY,VFCR,2025-07-11T23:59:59.999999Z,2025-07-11T07:03:15.006608Z,,28,XMKT,CHRL,ZZ0000000103,2025-07-11T07:07:29.006608Z,100216,FILL,L,,,,,,16.2592,EUR,,MONE,BUYI,,,,,0,,4,,,,,AGRE,,,,T10021651,,,,
SYNTHLEI0000000A0001,TRUE,NONE,ALGO1,,,DEAL,FALSE,2025-07-11T07:08:07.872979Z,GTCV,VFAR,9999-12-31T23:59:59.999999Z,2025-07-11T07:08:07.872979Z,,29,XMKT,HOTL,ZZ0000000108,2025-07-11T07:08:07.872979Z,100500,NEWO,L,LMTO,3.1804,0,0,0,0,EUR,,MONE,BUYI,ACTI,,,20,20,20,,,,,,,,,,T10050053,,,,
