snapshot_date,product_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point
2023-01-02,SKU0027,WH02,460,88,200
2023-01-02,SKU0063,WH01,0,0,150
2023-01-02,SKU0061,WH01,783,120,300
2023-01-02,SKU0069,WH05,421,56,400
2023-01-02,SKU0068,WH01,73,5,250
2023-01-02,SKU0091,WH02,129,15,400
2023-01-02,SKU0096,WH03,469,64,150
2023-01-02,SKU0064,WH03,0,0,250
2023-01-02,SKU0081,WH03,0,0,250
2023-01-02,SKU0094,WH03,697,155,500
2023-01-02,SKU0013,WH04,208,32,250
2023-01-02,SKU0028,WH03,231,14,200
2023-01-02,SKU0002,WH03,0,0,150
2023-01-02,SKU0080,WH04,852,287,400
2023-01-02,SKU0092,WH02,334,42,300
2023-01-02,SKU0066,WH01,30,4,150
2023-01-02,SKU0033,WH01,1190,229,400
2023-01-02,SKU0062,WH02,222,25,200
2023-01-02,SKU0084,WH01,764,167,250
2023-01-02,SKU0033,WH02,272,51,150
2023-01-02,SKU0041,WH02,117,37,200
2023-01-02,SKU0061,WH05,178,18,300
2023-01-02,SKU0084,WH02,189,10,250
2023-01-02,SKU0086,WH05,391,97,150
2023-01-02,SKU0060,WH03,33,2,100
2023-01-02,SKU0097,WH05,149,38,100
2023-01-02,SKU0062,WH04,27,4,200
2023-01-02,SKU0021,WH02,214,59,150
2023-01-02,SKU0069,WH01,100,24,150
2023-01-02,SKU0044,WH02,66,7,400
2023-01-02,SKU0063,WH05,198,19,250
2023-01-02,SKU0056,WH01,0,0,400
2023-01-02,SKU0079,WH02,349,121,400
2023-01-02,SKU0100,WH01,804,240,100
2023-01-02,SKU0100,WH05,566,79,250
2023-01-02,SKU0045,WH05,406,29,500
2023-01-02,SKU0096,WH01,976,150,300
2023-01-02,SKU0047,WH01,96,18,500
2023-01-02,SKU0030,WH04,0,0,250
2023-01-02,SKU0035,WH01,57,2,250
2023-01-02,SKU0048,WH03,205,34,250
2023-01-02,SKU0018,WH02,304,82,500
2023-01-02,SKU0077,WH02,122,28,250
2023-01-02,SKU0068,WH05,242,37,150
2023-01-02,SKU0017,WH03,48,11,400
2023-01-02,SKU0098,WH01,1246,412,200
2023-01-02,SKU0031,WH02,0,0,150
2023-01-02,SKU0049,WH02,183,57,200
2023-01-02,SKU0071,WH03,0,0,400
2023-01-02,SKU0013,WH02,128,36,100
2023-01-02,SKU0022,WH03,254,40,100
2023-01-02,SKU0095,WH02,40,7,500
2023-01-02,SKU0078,WH02,351,60,250
2023-01-02,SKU0060,WH01,193,60,250
2023-01-02,SKU0028,WH04,210,36,250
2023-01-02,SKU0063,WH04,241,77,300
2023-01-02,SKU0078,WH03,0,0,150
2023-01-02,SKU0011,WH03,77,10,200
2023-01-02,SKU0093,WH01,0,0,200
2023-01-02,SKU0078,WH04,1131,361,400
2023-01-02,SKU0092,WH05,91,29,150
2023-01-02,SKU0026,WH02,571,83,200
2023-01-02,SKU0092,WH04,416,124,500
2023-01-02,SKU0083,WH05,148,35,400
2023-01-02,SKU0093,WH02,198,57,200
2023-01-02,SKU0077,WH01,67,23,400
2023-01-02,SKU0086,WH01,0,0,400
2023-01-02,SKU0006,WH02,0,0,500
2023-01-02,SKU0064,WH01,0,0,400
2023-01-02,SKU0051,WH04,0,0,400
2023-01-02,SKU0032,WH01,682,61,200
2023-01-02,SKU0074,WH02,367,88,150
2023-01-02,SKU0008,WH01,71,20,300
2023-01-02,SKU0005,WH01,0,0,150
2023-01-02,SKU0037,WH03,826,194,200
2023-01-02,SKU0090,WH02,742,138,200
2023-01-02,SKU0048,WH05,174,31,400
2023-01-02,SKU0088,WH03,584,66,300
2023-01-02,SKU0024,WH03,66,11,250
2023-01-02,SKU0003,WH03,344,32,100
2023-01-02,SKU0083,WH01,554,87,400
2023-01-02,SKU0053,WH02,838,288,100
2023-01-02,SKU0056,WH04,0,0,150
2023-01-02,SKU0004,WH01,0,0,250
2023-01-02,SKU0019,WH04,290,41,150
2023-01-02,SKU0058,WH05,13,4,400
2023-01-02,SKU0018,WH01,389,126,250
2023-01-02,SKU0053,WH03,750,216,300
