order_id,order_date,supplier_id,product_id,warehouse_id,quantity_ordered,unit_cost,expected_delivery_date,actual_delivery_date
PO00001,2024-10-21,SUP04,SKU0006,WH05,1731,56.74,2024-11-05,2024-11-03
PO00002,2023-12-05,SUP07,SKU0036,WH03,2593,115.5,2023-12-12,2023-12-12
PO00003,2023-07-27,SUP06,SKU0024,WH05,1860,98.45,2023-08-05,2023-08-03
PO00004,2024-03-26,SUP05,SKU0061,WH02,3450,151.13,2024-04-22,2024-04-20
PO00005,2023-04-20,SUP08,SKU0069,WH05,2133,14.1,2023-05-12,2023-05-16
PO00006,2023-11-02,SUP01,SKU0045,WH03,4963,185.52,2023-11-16,2023-11-13
PO00007,2024-05-13,SUP07,SKU0054,WH04,2960,57.75,2024-05-20,2024-05-21
PO00008,2024-02-06,SUP02,SKU0043,WH02,1478,109.98,2024-03-14,2024-03-15
PO00009,2024-10-14,SUP05,SKU0029,WH02,2695,105.74,2024-11-14,2024-11-29
PO00010,2023-02-06,SUP06,SKU0086,WH01,4055,98.72,2023-02-16,2023-02-24
PO00011,2023-10-26,SUP06,SKU0081,WH05,1758,190.43,2023-11-07,2023-11-07
PO00012,2023-08-02,SUP04,SKU0012,WH05,3699,122.13,2023-08-17,2023-08-30
PO00013,2023-01-11,SUP10,SKU0092,WH04,856,83.62,2023-01-30,2023-02-18
PO00014,2023-07-06,SUP10,SKU0083,WH03,1045,87.81,2023-07-23,2023-07-23
PO00015,2023-07-30,SUP07,SKU0038,WH03,3899,47.56,2023-08-10,2023-08-08
PO00016,2023-07-29,SUP10,SKU0081,WH05,2287,196.13,2023-08-15,2023-08-15
PO00017,2024-03-13,SUP02,SKU0053,WH03,675,150.81,2024-04-19,2024-04-18
PO00018,2024-03-20,SUP01,SKU0049,WH02,504,58.62,2024-04-02,2024-04-03
PO00019,2023-02-19,SUP05,SKU0073,WH03,619,58.68,2023-03-22,2023-04-10
PO00020,2023-01-23,SUP07,SKU0060,WH02,2963,145.02,2023-02-03,2023-01-31
PO00021,2024-02-23,SUP07,SKU0069,WH01,2183,101.13,2024-03-05,2024-03-14
PO00022,2024-09-21,SUP03,SKU0005,WH05,4152,8.53,2024-10-01,2024-10-02
PO00023,2024-02-11,SUP05,SKU0060,WH01,1045,102.29,2024-03-11,2024-03-10
PO00024,2024-11-28,SUP09,SKU0020,WH01,639,75.49,2024-12-30,2024-12-29
PO00025,2024-05-07,SUP04,SKU0012,WH01,276,150.4,2024-05-22,2024-05-21
PO00026,2023-03-06,SUP02,SKU0069,WH04,3297,144.18,2023-04-12,2023-04-12
PO00027,2023-04-27,SUP01,SKU0022,WH04,4840,15.75,2023-05-09,2023-05-10
PO00028,2023-11-07,SUP10,SKU0032,WH04,3289,172.14,2023-11-26,2023-11-27
PO00029,2023-12-11,SUP01,SKU0012,WH02,298,12.52,2023-12-26,2023-12-26
PO00030,2024-08-27,SUP03,SKU0009,WH04,438,131.99,2024-09-05,2024-09-10
PO00031,2024-11-05,SUP10,SKU0090,WH03,2213,14.07,2024-11-22,2024-11-23
PO00032,2023-08-25,SUP08,SKU0054,WH03,1148,140.05,2023-09-13,2023-09-10
PO00033,2024-01-27,SUP06,SKU0001,WH04,3382,75.1,2024-02-08,2024-02-06
PO00034,2023-04-04,SUP02,SKU0073,WH03,500,41.29,2023-05-11,2023-05-08
PO00035,2024-08-26,SUP06,SKU0001,WH04,1733,157.99,2024-09-08,2024-09-07
PO00036,2023-07-25,SUP04,SKU0016,WH05,2740,196.34,2023-08-06,2023-08-07
PO00037,2023-01-18,SUP09,SKU0003,WH05,4229,122.2,2023-02-17,2023-03-03
PO00038,2024-12-31,SUP10,SKU0041,WH01,52,96.56,2025-01-16,2025-01-15
PO00039,2024-09-27,SUP07,SKU0043,WH01,2398,100.82,2024-10-09,2024-10-07
PO00040,2023-05-26,SUP06,SKU0019,WH03,3726,11.72,2023-06-03,2023-05-31
PO00041,2023-11-12,SUP09,SKU0005,WH04,3698,11.6,2023-12-15,2023-12-14
PO00042,2024-10-04,SUP05,SKU0040,WH04,2269,49.11,2024-11-02,2024-11-01
PO00043,2023-02-09,SUP08,SKU0075,WH04,2495,23.16,2023-03-02,2023-03-03
PO00044,2023-12-03,SUP05,SKU0032,WH05,1414,79.99,2024-01-02,2024-01-01
PO00045,2023-08-29,SUP05,SKU0045,WH03,4338,42.08,2023-09-25,2023-10-08
PO00046,2023-08-05,SUP02,SKU0061,WH01,4829,114.89,2023-09-10,2023-09-10
PO00047,2024-03-07,SUP05,SKU0046,WH05,3312,109.41,2024-04-05,2024-04-05
PO00048,2024-09-13,SUP10,SKU0044,WH04,4335,9.9,2024-10-02,2024-10-06
PO00049,2023-02-11,SUP04,SKU0027,WH04,3976,149.37,2023-02-24,2023-03-12
PO00050,2024-09-28,SUP10,SKU0087,WH01,852,1.04,2024-10-13,2024-10-11
PO00051,2023-06-23,SUP10,SKU0091,WH01,2764,170.19,2023-07-09,2023-07-17
PO00052,2023-05-16,SUP09,SKU0023,WH05,2171,121.52,2023-06-17,2023-07-05
PO00053,2023-12-21,SUP04,SKU0049,WH04,1509,180.65,2024-01-02,2024-01-03
PO00054,2024-07-30,SUP04,SKU0022,WH03,2744,38.57,2024-08-11,2024-08-12
PO00055,2024-07-16,SUP03,SKU0008,WH04,1538,39.41,2024-07-21,2024-07-20
PO00056,2023-12-09,SUP07,SKU0043,WH04,2570,19.76,2023-12-18,2023-12-18
PO00057,2023-04-22,SUP03,SKU0023,WH05,4084,68.44,2023-04-29,2023-04-28
PO00058,2024-04-02,SUP01,SKU0012,WH03,2090,116.04,2024-04-18,2024-04-19
PO00059,2023-07-22,SUP02,SKU0061,WH04,1151,14.78,2023-08-29,2023-08-28
PO00060,2024-09-10,SUP05,SKU0026,WH02,2316,45.66,2024-10-10,2024-10-08
PO00061,2024-06-11,SUP03,SKU0004,WH04,3705,92.84,2024-06-17,2024-06-14
PO00062,2024-11-13,SUP10,SKU0041,WH05,4814,139.05,2024-11-27,2024-11-25
PO00063,2024-04-22,SUP10,SKU0049,WH04,1962,100.3,2024-05-06,2024-05-03
PO00064,2023-04-12,SUP03,SKU0015,WH01,2051,100.38,2023-04-20,2023-04-18
PO00065,2023-01-26,SUP02,SKU0039,WH02,481,79.78,2023-03-05,2023-03-25
PO00066,2024-12-27,SUP10,SKU0043,WH02,783,17.03,2025-01-11,2025-01-10
PO00067,2023-07-06,SUP09,SKU0020,WH05,166,128.22,2023-08-05,2023-08-18
PO00068,2024-03-16,SUP08,SKU0057,WH03,398,105.86,2024-04-05,2024-04-05
PO00069,2023-02-03,SUP08,SKU0075,WH01,4510,47.19,2023-02-26,2023-02-24
PO00070,2023-09-25,SUP08,SKU0057,WH02,2992,166.83,2023-10-17,2023-10-17
PO00071,2023-01-26,SUP02,SKU0031,WH04,1868,44.86,2023-03-03,2023-02-28
PO00072,2024-12-23,SUP07,SKU0032,WH04,1194,182.17,2025-01-01,2025-01-15
PO00073,2023-12-29,SUP07,SKU0040,WH03,2727,188.61,2024-01-09,2024-01-07
PO00074,2023-11-29,SUP03,SKU0007,WH04,1261,97.61,2023-12-06,2023-12-07
PO00075,2023-01-04,SUP09,SKU0007,WH01,1453,136.51,2023-02-04,2023-02-05
PO00076,2024-01-01,SUP06,SKU0081,WH01,1644,161.37,2024-01-13,2024-01-12
PO00077,2024-01-19,SUP04,SKU0021,WH01,1032,65.1,2024-02-02,2024-02-02
PO00078,2024-12-03,SUP07,SKU0061,WH03,3816,52.42,2024-12-11,2024-12-12
PO00079,2023-09-03,SUP01,SKU0034,WH01,4234,4.7,2023-09-17,2023-09-17
PO00080,2024-07-16,SUP04,SKU0038,WH03,4334,43.78,2024-07-29,2024-07-30
PO00081,2023-11-28,SUP02,SKU0070,WH03,4753,142.6,2024-01-02,2024-01-22
PO00082,2024-11-28,SUP09,SKU0025,WH01,1310,195.0,2024-12-31,2025-01-08
PO00083,2024-02-25,SUP05,SKU0038,WH04,1778,137.76,2024-03-27,2024-03-26
PO00084,2024-11-02,SUP10,SKU0080,WH03,1336,8.72,2024-11-21,2024-11-19
PO00085,2024-09-08,SUP05,SKU0067,WH03,3812,160.05,2024-10-08,2024-10-07
PO00086,2023-06-26,SUP01,SKU0018,WH05,1141,50.76,2023-07-13,2023-07-11
PO00087,2023-05-05,SUP07,SKU0044,WH01,4577,42.11,2023-05-16,2023-05-14
PO00088,2023-08-15,SUP03,SKU0014,WH01,1897,42.0,2023-08-20,2023-08-28
PO00089,2023-09-14,SUP06,SKU0011,WH01,3296,115.47,2023-09-25,2023-09-22
PO00090,2023-11-09,SUP02,SKU0039,WH05,4639,20.49,2023-12-13,2023-12-12
PO00091,2023-08-13,SUP08,SKU0067,WH05,1740,5.81,2023-09-05,2023-09-03
PO00092,2023-02-17,SUP05,SKU0058,WH04,655,65.72,2023-03-19,2023-03-19
PO00093,2024-08-03,SUP02,SKU0063,WH05,525,138.59,2024-09-08,2024-09-14
PO00094,2023-12-25,SUP02,SKU0047,WH03,748,35.61,2024-01-30,2024-02-19
