route_id,supplier_id,supplier_name,supplier_city,supplier_country,supplier_lat,supplier_lng,warehouse_id,warehouse_name,warehouse_city,warehouse_country,warehouse_lat,warehouse_lng,total_shipments,avg_transit_days,on_time_pct,total_quantity,total_cost
RT_SUP01_WH01,SUP01,EuroComponents GmbH,Munich,Germany,48.1351,11.582,WH01,Rotterdam Hub,Rotterdam,Netherlands,51.9225,4.4792,47,17.1,0.574,100354,10093020.66
RT_SUP01_WH02,SUP01,EuroComponents GmbH,Munich,Germany,48.1351,11.582,WH02,Chicago Central,Chicago,USA,41.8781,-87.6298,67,16.9,0.537,173135,14834758.32
RT_SUP01_WH03,SUP01,EuroComponents GmbH,Munich,Germany,48.1351,11.582,WH03,Shanghai Port,Shanghai,China,31.2304,121.4737,54,16.0,0.63,150951,14648382.66
RT_SUP01_WH04,SUP01,EuroComponents GmbH,Munich,Germany,48.1351,11.582,WH04,Sao Paulo Depot,Sao Paulo,Brazil,-23.5505,-46.6333,62,15.8,0.661,133855,11213173.74
RT_SUP01_WH05,SUP01,EuroComponents GmbH,Munich,Germany,48.1351,11.582,WH05,Dubai Logistics,Dubai,UAE,25.2048,55.2708,59,15.0,0.712,155450,14961708.44
RT_SUP02_WH01,SUP02,Pacific Manufacturing,Shenzhen,China,22.5431,114.0579,WH01,Rotterdam Hub,Rotterdam,Netherlands,51.9225,4.4792,55,37.9,0.545,161020,16893650.09
RT_SUP02_WH02,SUP02,Pacific Manufacturing,Shenzhen,China,22.5431,114.0579,WH02,Chicago Central,Chicago,USA,41.8781,-87.6298,56,39.8,0.482,134597,14893981.02
RT_SUP02_WH03,SUP02,Pacific Manufacturing,Shenzhen,China,22.5431,114.0579,WH03,Shanghai Port,Shanghai,China,31.2304,121.4737,52,39.8,0.519,129890,12899965.71
RT_SUP02_WH04,SUP02,Pacific Manufacturing,Shenzhen,China,22.5431,114.0579,WH04,Sao Paulo Depot,Sao Paulo,Brazil,-23.5505,-46.6333,61,39.1,0.492,158032,14581503.89
RT_SUP02_WH05,SUP02,Pacific Manufacturing,Shenzhen,China,22.5431,114.0579,WH05,Dubai Logistics,Dubai,UAE,25.2048,55.2708,60,39.1,0.5,157762,15628898.27
RT_SUP03_WH01,SUP03,AmeriSteel Corp,Pittsburgh,USA,40.4406,-79.9959,WH01,Rotterdam Hub,Rotterdam,Netherlands,51.9225,4.4792,66,9.9,0.515,159761,15101294.91
RT_SUP03_WH02,SUP03,AmeriSteel Corp,Pittsburgh,USA,40.4406,-79.9959,WH02,Chicago Central,Chicago,USA,41.8781,-87.6298,54,9.2,0.519,143749,14396703.04
RT_SUP03_WH03,SUP03,AmeriSteel Corp,Pittsburgh,USA,40.4406,-79.9959,WH03,Shanghai Port,Shanghai,China,31.2304,121.4737,51,9.1,0.647,110403,11037483.27
RT_SUP03_WH04,SUP03,AmeriSteel Corp,Pittsburgh,USA,40.4406,-79.9959,WH04,Sao Paulo Depot,Sao Paulo,Brazil,-23.5505,-46.6333,54,10.6,0.444,132636,13257354.18
RT_SUP03_WH05,SUP03,AmeriSteel Corp,Pittsburgh,USA,40.4406,-79.9959,WH05,Dubai Logistics,Dubai,UAE,25.2048,55.2708,63,10.1,0.492,174574,14782199.15
